,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,1.0,0.77,0.53,0.44,0.59,0.45,0.0,0.45,0.62,0.57
clamav.csv,0.55,0.54,0.58,0.38,0.65,0.27,0.5,0.9,0.46,0.45
dvd-create.csv,0.78,0.69,0.92,0.81,1.0,0.64,0.67,0.8,0.77,0.76
gbif-indexingtoolkit.csv,0.1,0.08,0.06,0.06,0.09,0.73,0.0,0.25,0.12,0.06
go.csv,0.77,1.0,0.97,0.31,0.54,0.64,0.08,0.5,0.77,0.73
kwave.csv,0.31,0.77,0.85,0.94,0.7,0.45,0.33,0.55,0.23,0.63
libarchive.csv,0.27,0.54,0.47,0.31,0.22,0.64,0.33,0.25,0.42,0.92
liferea.csv,0.4,0.85,0.25,0.19,0.41,0.27,0.0,0.25,0.23,0.33
linux-ntfs.csv,0.35,0.31,0.2,0.25,0.32,0.55,0.25,0.4,0.92,0.41
mpgravity.csv,0.42,0.46,0.42,0.38,0.51,0.45,1.0,0.6,0.65,0.55
