,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.0,0.61,0.57,0.81,0.56,0.69,1.0,0.64,0.56,0.5
clamav.csv,0.56,0.57,0.59,0.8,0.57,0.81,0.85,0.1,0.7,0.63
dvd-create.csv,0.86,0.81,0.8,0.7,0.0,0.67,0.67,0.7,0.86,0.73
gbif-indexingtoolkit.csv,0.9,0.92,0.94,0.94,0.91,0.27,1.0,0.77,0.88,0.95
go.csv,0.67,0.7,0.03,0.83,0.51,0.86,0.92,0.59,0.73,0.49
kwave.csv,0.73,0.61,0.75,0.06,0.49,0.63,0.76,0.65,0.83,0.69
libarchive.csv,0.74,0.6,0.61,0.77,0.87,0.7,0.68,0.86,0.69,0.08
liferea.csv,0.62,0.15,0.77,0.85,0.68,0.77,1.0,0.8,0.79,0.68
linux-ntfs.csv,0.73,0.76,0.86,0.86,0.75,0.51,0.77,0.64,0.08,0.63
mpgravity.csv,0.59,0.61,0.67,0.85,0.7,0.66,0.0,0.73,0.54,0.59
