,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.44,0.31,0.46,0.42,0.41,0.42,0.0,0.62,0.36,0.54
clamav.csv,0.4,0.5,0.48,0.47,0.38,0.62,0.5,0.61,0.44,0.63
dvd-create.csv,0.37,0.33,0.39,0.43,0.41,0.37,0.41,0.4,0.39,0.49
gbif-indexingtoolkit.csv,0.88,0.67,0.88,0.5,0.89,0.88,0.0,0.91,0.67,0.91
go.csv,0.41,0.36,0.45,0.48,0.52,0.35,0.5,0.52,0.4,0.48
kwave.csv,0.84,0.4,0.45,0.93,0.47,0.62,0.74,0.57,0.93,0.58
libarchive.csv,0.68,0.54,0.52,0.64,0.87,0.43,0.89,0.6,0.59,0.56
liferea.csv,0.6,0.82,0.72,0.88,0.53,0.6,0.0,0.6,0.73,0.65
linux-ntfs.csv,0.62,0.67,0.97,0.78,0.77,0.78,0.8,0.81,0.58,0.68
mpgravity.csv,0.56,0.68,0.6,0.61,0.47,0.54,0.75,0.5,0.45,0.58
