,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,1.0,0.66,0.55,0.43,0.59,0.47,0.0,0.48,0.61,0.6
clamav.csv,0.57,0.56,0.58,0.4,0.63,0.31,0.45,0.92,0.48,0.48
dvd-create.csv,0.45,0.51,0.53,0.62,1.0,0.59,0.59,0.62,0.45,0.59
gbif-indexingtoolkit.csv,0.12,0.1,0.07,0.07,0.11,0.77,0.0,0.29,0.15,0.07
go.csv,0.63,0.68,0.98,0.34,0.58,0.46,0.1,0.53,0.59,0.7
kwave.csv,0.35,0.66,0.59,0.95,0.68,0.48,0.36,0.55,0.27,0.57
libarchive.csv,0.31,0.55,0.5,0.35,0.25,0.57,0.38,0.28,0.45,0.93
liferea.csv,0.45,0.88,0.29,0.22,0.44,0.31,0.0,0.29,0.27,0.38
linux-ntfs.csv,0.39,0.35,0.23,0.28,0.36,0.58,0.29,0.44,0.93,0.45
mpgravity.csv,0.47,0.49,0.45,0.39,0.51,0.48,1.0,0.54,0.64,0.56
