,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.08,0.38,0.27,0.41,1.0,0.2,0.22,0.77,0.5,0.29,0.0
elateportal.csv,0.15,0.35,0.18,0.64,0.16,0.25,0.33,0.9,0.98,0.25,1.0
etics.csv,0.19,0.29,1.0,0.56,0.24,0.27,0.29,0.88,0.98,0.57,0.6
lockss.csv,0.0,0.29,0.33,0.5,0.11,1.0,0.09,0.96,0.89,0.35,0.0
pcgen.csv,0.2,0.44,0.67,1.0,0.14,0.26,0.67,0.9,0.97,0.47,0.5
personalaccess.csv,0.06,0.38,0.47,0.48,0.2,0.24,0.36,0.99,0.98,0.39,0.95
pydev.csv,0.24,0.42,0.57,0.45,0.3,0.23,0.67,0.94,0.94,1.0,0.71
rhex.csv,0.92,0.5,0.17,0.4,0.17,0.2,0.29,0.78,0.94,0.41,0.81
stuproa-cims.csv,0.14,0.36,0.29,0.42,0.17,0.22,1.0,0.9,0.97,0.38,0.67
uclmda.csv,0.13,0.37,0.14,0.37,0.15,0.2,0.28,0.89,1.0,0.33,0.89
wgs-assembler.csv,0.18,1.0,1.0,0.31,0.2,0.31,0.22,0.91,0.96,0.57,0.89
