,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.88,0.69,0.79,0.71,0.14,0.69,0.87,0.92,1.18,0.79,1.2
elateportal.csv,0.65,0.88,0.81,0.54,0.76,0.62,0.7,0.63,0.54,0.87,0.0
etics.csv,0.64,0.89,0.0,0.48,0.55,0.55,0.85,0.6,0.51,0.49,0.99
lockss.csv,1.0,0.89,0.78,0.89,0.94,0.14,0.97,0.8,0.97,0.83,1.05
pcgen.csv,0.92,0.69,0.69,0.11,0.93,0.68,0.89,0.85,0.78,0.79,0.99
personalaccess.csv,0.94,0.67,0.44,0.68,0.65,0.73,0.59,0.04,0.57,0.63,0.38
pydev.csv,0.69,0.63,0.7,0.64,0.61,0.64,0.85,0.64,0.87,0.11,0.95
rhex.csv,0.01,0.92,0.85,0.72,0.93,0.7,0.75,0.87,0.89,0.63,0.91
stuproa-cims.csv,0.81,1.0,0.72,0.94,1.0,0.79,0.04,0.5,0.67,0.72,1.0
uclmda.csv,0.91,0.9,0.98,0.76,0.91,0.69,0.8,0.59,0.0,0.74,0.83
wgs-assembler.csv,0.7,0.1,0.69,0.85,0.81,0.78,0.83,0.77,0.74,0.66,0.7
