,rhex.csv,wgs-assembler.csv,etics.csv,pcgen.csv,aime.csv,lockss.csv,stuproa-cims.csv,personalaccess.csv,uclmda.csv,pydev.csv,elateportal.csv
aime.csv,0.2,0.57,0.27,0.53,0.88,0.47,0.45,0.4,0.02,0.41,0.0
elateportal.csv,0.61,0.4,0.34,0.53,0.51,0.52,0.39,0.46,0.71,0.4,1.0
etics.csv,0.46,0.16,1.0,0.74,0.63,0.69,0.19,0.52,0.78,0.59,0.09
lockss.csv,0.0,0.16,0.27,0.13,0.09,0.88,0.05,0.24,0.06,0.22,0.0
pcgen.csv,0.1,0.4,0.36,0.91,0.09,0.4,0.13,0.18,0.27,0.26,0.02
personalaccess.csv,0.1,0.54,0.65,0.66,0.56,0.63,0.54,0.99,0.56,0.61,0.78
pydev.csv,0.38,0.51,0.36,0.61,0.47,0.55,0.18,0.42,0.23,0.91,0.13
rhex.csv,1.0,0.1,0.26,0.49,0.09,0.53,0.35,0.44,0.38,0.52,0.38
stuproa-cims.csv,0.53,0.0,0.64,0.24,0.0,0.56,0.97,0.71,0.69,0.6,0.16
uclmda.csv,0.35,0.35,0.34,0.49,0.37,0.53,0.28,0.53,1.0,0.51,0.5
wgs-assembler.csv,0.37,0.92,0.36,0.23,0.25,0.27,0.26,0.28,0.47,0.41,0.43
