,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,mevenide.csv
alembik.csv,0.76,0.9,0.7,0.45,0.8,0.91
arsenal-1.csv,0.41,0.47,0.56,0.3,0.42,0.53
barracudamvc.csv,0.37,0.31,0.35,0.38,0.41,0.48
mevenide.csv,0.67,0.41,0.8,0.65,0.63,0.85
mumble.csv,0.41,0.33,0.5,0.53,0.61,0.54
openintents.csv,0.49,0.52,0.72,0.54,0.64,0.73
