,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv
benojt.csv,0.64,0.31,0.63,0.99,0.14,0.63,0.29
chrysalis.csv,0.64,0.44,0.57,0.87,0.3,0.63,0.6
jahshaka.csv,0.65,0.6,0.42,0.7,0.18,0.56,0.4
jam-daq.csv,0.54,0.12,0.43,0.7,0.3,0.7,0.15
jatlas.csv,0.64,0.29,0.53,0.71,0.53,0.58,0.4
jedit.csv,0.78,0.31,0.61,0.98,0.12,0.62,0.31
open-media-library.csv,0.58,0.45,0.67,0.78,0.3,0.68,0.0
