,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.63,0.9,0.6,0.84,0.73,0.63,0.52,0.56,0.5,0.8,0.66,0.58
gamestone.csv,0.87,0.17,0.8,0.73,0.81,1.0,0.92,0.62,0.91,0.85,1.01,0.92
gbif-providertoolkit.csv,0.72,1.11,0.73,0.7,0.33,0.64,0.63,0.61,0.42,0.69,0.76,0.82
heekscad.csv,0.36,0.8,0.47,0.55,0.57,0.67,0.57,0.55,0.54,0.76,0.77,0.54
igarden.csv,0.49,0.78,0.72,0.51,0.68,0.58,0.73,0.78,0.63,0.85,0.54,0.57
levent.csv,0.74,0.93,0.66,0.78,0.63,0.42,0.7,0.65,1.0,0.87,0.92,0.66
lportal.csv,0.75,1.0,0.77,0.97,0.93,0.9,0.97,0.56,0.34,0.98,1.0,0.92
openmsx.csv,0.49,0.86,0.77,0.73,0.73,0.68,0.98,0.66,1.0,0.55,0.71,0.95
owlapi.csv,0.92,1.05,0.71,0.88,0.82,0.71,0.96,0.31,0.88,0.89,0.66,0.76
pnotepad.csv,0.43,0.55,0.73,0.97,0.91,0.63,0.6,0.89,0.98,0.88,1.0,0.1
quark.csv,0.7,0.75,0.63,0.94,0.86,0.98,0.95,0.84,0.81,0.94,0.31,0.85
xcsoar.csv,0.39,0.64,0.43,0.59,0.53,0.62,0.59,0.55,0.55,0.72,1.0,0.72
