,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.65,0.14,0.69,0.26,0.6,0.48,0.62,0.6,0.71,0.49,0.69,0.5
gamestone.csv,0.16,0.88,0.25,0.42,0.33,0.0,0.1,0.51,0.14,0.23,0.0,0.1
gbif-providertoolkit.csv,0.51,0.0,0.36,0.45,0.82,0.56,0.65,0.48,0.77,0.51,0.35,0.43
heekscad.csv,0.75,0.29,0.63,0.57,0.66,0.43,0.64,0.58,0.7,0.32,0.6,0.71
igarden.csv,0.57,0.29,0.34,0.65,0.4,0.5,0.33,0.28,0.6,0.18,0.81,0.49
levent.csv,0.6,0.14,0.41,0.27,0.69,0.71,0.58,0.41,0.0,0.17,0.1,0.42
lportal.csv,0.31,0.0,0.29,0.04,0.09,0.12,0.04,0.55,0.74,0.02,0.0,0.1
openmsx.csv,0.63,0.45,0.34,0.6,0.33,0.41,0.04,0.5,0.0,0.59,0.35,0.34
owlapi.csv,0.39,0.0,0.49,0.22,0.51,0.59,0.17,0.84,0.17,0.42,0.64,0.5
pnotepad.csv,0.64,0.74,0.62,0.13,0.34,0.61,0.64,0.41,0.09,0.44,0.0,0.92
quark.csv,0.36,0.29,0.43,0.07,0.17,0.02,0.06,0.19,0.24,0.07,0.82,0.18
xcsoar.csv,0.7,0.43,0.67,0.62,0.63,0.52,0.53,0.58,0.7,0.49,0.0,0.34
