,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.46,0.29,0.24,0.8,0.66,0.87,0.66,0.89,0.56,0.44
pclasses.csv,0.18,0.5,0.0,0.2,0.14,0.04,0.13,0.0,0.31,0.0
pfaedit.csv,0.09,0.38,0.0,0.28,0.17,0.04,0.66,0.08,0.34,0.56
theresa.csv,0.3,0.5,0.24,0.22,0.46,0.06,0.34,0.67,0.28,0.22
thrust.csv,0.14,0.31,0.59,0.0,0.37,0.23,0.26,0.7,0.25,0.44
tktoolkit.csv,0.41,0.85,0.34,0.38,0.6,0.6,0.55,0.16,0.55,1.0
trinitycore.csv,0.21,0.4,0.0,0.52,0.11,0.4,0.71,0.19,0.36,0.0
tzod.csv,0.25,0.31,0.17,0.54,0.43,0.34,0.34,0.67,0.33,0.11
yaprm.csv,0.57,0.25,0.0,0.46,0.09,0.4,0.37,0.31,0.3,0.0
zemljanka.csv,0.73,0.65,0.86,0.58,0.77,0.55,0.84,0.83,0.88,0.0
