,oscarmcmaster.csv,jmoney.csv,irplus.csv,twostep.csv,openmalaria.csv,atunes.csv
atunes.csv,0.45,0.64,0.43,0.7,0.0,0.77
irplus.csv,0.5,0.77,0.57,0.76,0.53,0.75
jmoney.csv,0.42,0.87,0.5,0.69,0.43,0.67
openmalaria.csv,0.55,0.27,0.68,0.84,0.75,0.8
oscarmcmaster.csv,0.58,0.54,0.54,0.62,0.48,0.38
twostep.csv,0.61,0.65,0.69,0.84,0.73,0.67
