,oscarmcmaster.csv,jmoney.csv,irplus.csv,twostep.csv,openmalaria.csv,atunes.csv
atunes.csv,0.43,0.65,0.4,0.88,0.0,0.77
irplus.csv,0.49,0.8,0.56,0.77,0.48,0.77
jmoney.csv,0.38,0.9,0.48,0.69,0.38,0.64
openmalaria.csv,0.7,0.95,0.72,0.92,0.74,0.91
oscarmcmaster.csv,0.55,0.5,0.52,0.58,0.43,0.95
twostep.csv,0.64,0.85,0.76,0.85,0.71,0.95
