,oscarmcmaster.csv,jmoney.csv,irplus.csv,twostep.csv,openmalaria.csv,atunes.csv
atunes.csv,0.2,0.45,0.34,0.45,0.0,0.1
irplus.csv,0.23,0.53,0.47,0.62,0.74,0.09
jmoney.csv,0.23,0.67,0.41,0.56,0.84,0.12
openmalaria.csv,0.21,0.33,0.49,0.59,0.74,0.07
oscarmcmaster.csv,0.33,0.59,0.46,0.68,0.72,0.04
twostep.csv,0.26,0.39,0.46,0.73,0.77,0.05
