,oscarmcmaster.csv,jmoney.csv,irplus.csv,twostep.csv,openmalaria.csv,atunes.csv
atunes.csv,0.27,0.53,0.37,0.6,0.0,0.18
irplus.csv,0.31,0.64,0.51,0.69,0.58,0.16
jmoney.csv,0.29,0.77,0.44,0.62,0.52,0.2
openmalaria.csv,0.32,0.49,0.58,0.72,0.74,0.13
oscarmcmaster.csv,0.42,0.54,0.49,0.62,0.54,0.07
twostep.csv,0.37,0.53,0.58,0.79,0.74,0.09
