,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.83,0.82,0.7,0.94,0.81,1.0,0.58,0.67,0.56,0.98,0.6,0.87,1.0,0.64,0.2
atlc.csv,0.47,0.3,0.7,0.77,0.79,0.91,0.78,0.92,0.43,0.87,0.82,0.63,0.97,0.67,1.13
bwapi.csv,0.98,1.0,1.0,1.0,0.97,0.99,1.0,0.82,0.98,0.32,0.88,1.0,1.0,0.81,1.01
cubefs.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.71,0.48,1.0,0.95,0.56,0.72,0.81,0.67,1.0
freewrl.csv,0.83,0.93,0.7,0.69,0.74,0.82,0.73,0.71,0.41,0.97,0.79,0.46,0.8,0.68,0.95
iaml.csv,0.95,0.58,1.0,1.0,0.81,0.73,0.45,0.92,0.91,0.97,0.74,0.78,0.78,0.79,0.94
jrdf.csv,0.78,1.0,0.74,0.8,0.97,0.97,0.83,0.56,0.9,0.98,0.95,0.96,0.3,0.73,0.99
kwave.csv,0.54,1.0,0.66,1.0,0.79,1.0,0.73,0.67,0.87,0.8,0.56,0.82,0.61,0.78,1.0
oscarmcmaster.csv,0.69,0.76,0.7,0.66,0.64,0.62,0.73,0.65,0.9,0.61,0.71,0.96,0.61,0.53,0.7
rtrt-on-gpu.csv,0.8,1.02,0.83,0.66,0.87,0.9,0.59,0.57,0.35,0.71,0.7,0.9,0.62,0.7,0.44
theresa.csv,0.78,0.74,0.22,1.0,0.62,0.75,0.84,0.75,0.72,0.91,0.6,0.69,0.68,0.68,0.53
thrust.csv,0.95,0.93,1.02,0.57,0.7,1.0,0.6,0.91,0.8,0.58,0.83,1.0,0.98,0.8,0.94
tktoolkit.csv,0.55,0.93,0.41,0.74,0.68,0.58,0.85,0.97,0.69,0.66,0.67,0.98,0.64,0.72,0.91
xstore.csv,0.65,0.97,0.34,1.0,0.81,0.93,0.81,0.74,0.87,0.94,0.39,0.96,0.81,0.6,0.7
yaprm.csv,0.7,1.0,0.41,0.77,0.43,0.64,0.61,0.88,0.73,0.93,0.79,1.0,0.89,0.79,1.01
