,beast-mcmc.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jbasic.csv,apertium.csv,power-architect.csv,bigdata.csv,kolmafia.csv,opendvr.csv,mevenide.csv,coot.csv,icescrum.csv,codesmith.csv,ta3d.csv,thedata.csv
apertium.csv,7.0,0.0,18.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,74.0,0.0,2.0,1.0,1.0,50.0,26.0
beast-mcmc.csv,0.0,0.0,14.0,1.0,1.0,0.0,5.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,4.0
bigdata.csv,8.0,0.0,10.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,76.0,11.0,0.0,3.0,28.0
codesmith.csv,2.0,0.0,21.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,7.0,0.0,8.0,1.0,9.0,0.0,2.0,2.0
coot.csv,11.0,0.0,11.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,2.0,74.0,0.0,0.0,3.0,0.0,50.0,15.0
cuberok.csv,3.0,0.0,27.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,4.0,3.0,7.0,1.0,1.0,0.0
icescrum.csv,6.0,3.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,8.0
jbasic.csv,7.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,6.0,3.0,9.0
jrefactory.csv,5.0,1.0,7.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0
jsecurity.csv,3.0,2.0,0.0,2.0,1.0,0.0,7.0,0.0,4.0,0.0,0.0,1.0,4.0,11.0,0.0,1.0,1.0,1.0,1.0
kolmafia.csv,11.0,2.0,7.0,0.0,3.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,0.0,15.0
libopenmetaverse.csv,12.0,0.0,11.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,5.0,3.0,0.0,1.0,3.0,0.0,1.0,10.0
mevenide.csv,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,6.0
mobicents.csv,14.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,7.0,2.0,3.0
opendvr.csv,7.0,5.0,3.0,4.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,6.0,6.0,3.0,0.0,2.0,11.0
power-architect.csv,8.0,2.0,7.0,1.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,3.0,6.0
sidekar.csv,241.0,88.0,207.0,0.0,70.0,508.0,1.0,128.0,82.0,67.0,304.0,85.0,0.0,2.0,76.0,50.0,97.0,50.0,65.0
ta3d.csv,11.0,2.0,37.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,2.0,3.0,74.0,7.0,1.0,1.0,0.0,2.0,8.0
thedata.csv,20.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,5.0,1.0,6.0,0.0,3.0,0.0,3.0,0.0
