,adaptagrams.csv,go.csv,bibedt.csv,moving-pictures.csv,libmesh.csv,glelite.csv,fulguro.csv
adaptagrams.csv,0.31,0.69,0.61,0.82,0.79,0.81,0.59
bibedt.csv,0.8,0.38,0.26,0.7,0.73,0.85,0.81
fulguro.csv,0.92,1.0,1.0,0.97,0.84,1.0,0.46
glelite.csv,1.0,0.93,1.0,0.95,0.89,0.04,0.68
go.csv,0.79,0.39,0.71,0.8,0.65,0.4,0.94
libmesh.csv,1.0,0.93,0.84,0.87,0.49,1.0,0.79
moving-pictures.csv,0.56,0.68,0.61,0.41,0.94,0.65,0.58
