,superwaba.csv,fritzing.csv,lmms.csv,ifmo-game-1.csv,empserver.csv,repositorium.csv,pgui.csv,jparsec.csv,lufa-lib.csv,doomlegacy.csv,xapian.csv,pi-qmc.csv,cortex-vfx.csv,zemljanka.csv
cortex-vfx.csv,0.28,0.32,0.21,0.29,0.09,0.08,0.32,0.14,0.24,0.08,0.08,0.09,0.25,0.11
doomlegacy.csv,0.72,0.65,0.58,0.58,0.18,0.48,0.22,0.91,0.41,0.42,0.15,1.0,0.85,0.22
empserver.csv,0.52,0.94,0.66,0.56,0.27,0.78,0.3,0.84,0.33,0.85,0.35,0.5,0.8,0.33
fritzing.csv,0.43,0.32,0.3,0.39,0.27,0.12,0.48,0.84,0.24,0.19,0.26,0.09,0.23,0.33
ifmo-game-1.csv,0.79,0.04,0.04,0.25,0.48,0.03,0.91,0.0,0.24,0.0,0.02,0.12,0.16,0.0
jparsec.csv,0.41,0.22,0.93,0.71,1.0,0.8,0.94,0.29,0.99,0.88,0.51,0.54,0.59,1.0
lmms.csv,0.41,0.51,0.37,0.6,0.61,0.16,0.92,0.62,0.98,0.23,0.16,0.2,0.31,0.89
lufa-lib.csv,0.08,0.34,0.37,0.52,0.06,0.26,0.43,0.9,0.3,0.35,0.69,0.57,0.1,0.67
pgui.csv,0.52,0.99,0.01,0.97,0.48,0.05,0.33,0.93,0.99,0.0,0.42,1.0,0.31,0.0
pi-qmc.csv,0.13,0.1,0.6,0.38,0.73,0.45,0.85,0.28,0.85,0.69,0.6,0.14,0.18,0.56
repositorium.csv,0.21,0.1,0.58,0.6,0.18,0.26,0.0,0.12,0.07,0.46,0.65,0.45,0.26,0.0
superwaba.csv,0.22,0.43,0.26,0.42,0.39,0.5,0.35,0.49,0.2,0.08,0.06,0.04,0.85,0.11
xapian.csv,0.98,0.77,0.62,0.7,0.27,0.52,0.49,0.54,0.62,0.65,0.18,0.64,0.72,0.22
zemljanka.csv,0.79,0.79,0.84,0.62,0.88,0.8,0.81,0.99,0.8,0.73,0.94,0.79,0.81,0.0
