,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.21,0.47,0.0,0.5,0.0,1.0,0.33,0.0,0.36,0.0,1.0,0.0,0.0,0.0,0.0,0.43,0.0,1.0,0.71
badtrinity-zero.csv,0.7,1.0,0.4,0.63,0.18,0.48,0.35,0.08,0.44,0.06,1.0,0.7,0.35,0.74,0.15,0.42,0.83,0.74,0.71
boost.csv,0.65,0.6,0.38,0.75,0.14,0.64,0.62,0.09,0.7,0.12,0.83,0.75,0.49,0.88,0.2,0.74,1.0,0.7,0.75
critterding.csv,0.41,0.63,0.24,0.48,0.23,0.41,0.31,0.07,0.42,0.07,0.7,0.82,0.37,0.88,0.09,0.39,0.79,0.6,0.64
enzo.csv,0.4,0.43,0.33,0.49,0.21,0.38,0.29,0.08,0.36,0.07,0.74,0.68,0.34,0.91,0.09,0.35,0.72,0.59,0.67
etics.csv,0.0,0.67,0.71,0.76,0.5,0.7,0.55,0.18,0.2,0.12,0.9,0.94,0.61,1.0,0.14,0.87,1.0,0.9,0.71
fmri-dmt.csv,0.37,0.4,0.33,0.44,0.04,0.34,0.19,0.06,0.33,0.07,0.63,0.55,0.17,0.72,0.33,0.3,0.7,0.5,0.61
gusanos.csv,0.43,0.47,0.32,0.56,0.21,0.45,0.36,0.17,0.34,0.06,0.85,0.76,0.41,1.0,0.09,0.44,0.86,0.79,0.68
kftpgrabber.csv,0.0,0.5,1.0,0.85,0.57,0.55,0.47,0.25,0.56,0.05,0.83,1.0,0.69,1.0,0.03,0.83,0.0,0.75,0.69
kvs.csv,0.39,0.4,0.67,0.62,0.62,0.25,0.33,0.0,0.42,0.0,0.33,1.0,0.0,1.0,0.06,0.57,0.0,0.83,0.44
miranda.csv,0.57,0.67,0.58,0.76,0.18,0.48,0.42,0.08,0.47,0.08,1.0,0.69,0.47,0.71,0.19,0.42,0.84,0.83,0.76
modplug.csv,0.41,0.51,0.22,0.48,0.22,0.44,0.39,0.1,0.44,0.07,0.78,0.86,0.35,0.88,0.06,0.4,0.92,0.67,0.66
monetdb.csv,0.4,0.64,1.0,0.75,0.0,0.68,0.71,0.15,0.39,0.04,1.0,1.0,0.46,1.0,0.0,0.62,1.0,0.82,0.68
nativeclient.csv,0.43,0.53,0.37,0.56,0.24,0.48,0.34,0.08,0.46,0.08,0.77,0.87,0.48,0.86,0.1,0.4,0.87,0.71,0.71
ogrehg.csv,0.76,0.65,0.57,0.7,0.44,0.64,0.48,0.11,0.69,0.12,0.87,0.71,0.51,0.78,0.14,0.73,0.0,0.67,0.7
passwordsafe.csv,0.59,0.69,0.29,0.65,0.22,0.54,0.46,0.1,0.42,0.06,0.79,0.97,0.42,0.91,0.05,0.67,1.0,0.83,0.68
quarkplayer.csv,1.0,1.0,0.5,0.67,0.67,0.27,0.33,1.0,0.33,0.22,0.5,0.0,1.0,0.53,0.0,0.67,0.0,0.0,0.88
reactos-mirror.csv,0.65,0.61,0.24,0.58,0.19,0.41,0.42,0.11,0.51,0.08,0.66,0.81,0.43,0.75,0.1,0.54,0.75,0.65,0.66
sandiaportals.csv,0.45,0.47,0.21,0.55,0.14,0.45,0.43,0.1,0.46,0.07,0.7,0.77,0.33,0.7,0.06,0.63,0.88,0.68,0.69
