,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.07,0.31,0.0,0.02,0.0,0.01,0.11,0.0,0.09,0.0,0.32,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.58
badtrinity-zero.csv,0.39,0.06,0.48,0.67,0.28,0.6,0.51,0.15,0.57,0.1,0.03,0.71,0.45,0.23,0.23,0.57,0.83,0.23,0.81
boost.csv,0.44,0.51,0.47,0.47,0.14,0.56,0.47,0.11,0.6,0.19,0.52,0.55,0.58,0.36,0.25,0.48,0.62,0.36,0.67
critterding.csv,0.45,0.56,0.38,0.59,0.36,0.49,0.45,0.14,0.5,0.13,0.63,0.69,0.51,0.81,0.17,0.55,0.67,0.67,0.66
enzo.csv,0.54,0.55,0.48,0.66,0.35,0.52,0.43,0.14,0.52,0.12,0.78,0.79,0.49,0.92,0.17,0.5,0.77,0.73,0.76
etics.csv,0.0,0.41,0.5,0.32,0.17,0.35,0.51,0.21,0.01,0.17,0.41,0.42,0.59,0.26,0.2,0.36,0.23,0.11,0.77
fmri-dmt.csv,0.37,0.46,0.12,0.47,0.04,0.4,0.17,0.11,0.42,0.12,0.54,0.51,0.2,0.62,0.22,0.32,0.6,0.51,0.31
gusanos.csv,0.54,0.63,0.47,0.61,0.31,0.56,0.52,0.27,0.47,0.11,0.89,0.62,0.55,0.19,0.16,0.58,0.36,0.48,0.8
kftpgrabber.csv,0.0,0.41,0.27,0.34,0.3,0.33,0.51,0.25,0.25,0.06,0.63,0.47,0.68,0.29,0.05,0.29,0.0,0.04,0.76
kvs.csv,0.05,0.1,0.25,0.11,0.36,0.06,0.14,0.0,0.13,0.0,0.03,0.04,0.0,0.06,0.09,0.12,0.0,0.07,0.07
miranda.csv,0.37,0.2,0.56,0.56,0.26,0.58,0.53,0.14,0.45,0.13,0.06,0.57,0.53,0.2,0.27,0.53,0.78,0.33,0.82
modplug.csv,0.52,0.58,0.35,0.56,0.35,0.59,0.55,0.18,0.58,0.12,0.73,0.82,0.51,0.57,0.11,0.55,0.87,0.66,0.75
monetdb.csv,0.25,0.37,0.14,0.3,0.0,0.19,0.59,0.16,0.3,0.05,0.44,0.23,0.28,0.02,0.0,0.27,0.29,0.11,0.58
nativeclient.csv,0.55,0.5,0.5,0.63,0.37,0.61,0.49,0.15,0.52,0.15,0.47,0.8,0.57,0.73,0.17,0.54,0.8,0.75,0.78
ogrehg.csv,0.07,0.57,0.4,0.45,0.28,0.59,0.57,0.17,0.34,0.19,0.64,0.64,0.57,0.74,0.24,0.51,0.0,0.1,0.76
passwordsafe.csv,0.3,0.44,0.38,0.58,0.23,0.56,0.56,0.17,0.44,0.11,0.57,0.71,0.51,0.34,0.09,0.62,0.71,0.27,0.68
quarkplayer.csv,0.01,0.11,0.24,0.09,0.17,0.04,0.08,0.15,0.03,0.28,0.03,0.0,0.06,0.14,0.0,0.07,0.0,0.0,0.12
reactos-mirror.csv,0.62,0.6,0.39,0.57,0.28,0.52,0.52,0.18,0.53,0.14,0.65,0.76,0.56,0.63,0.17,0.55,0.85,0.69,0.8
sandiaportals.csv,0.57,0.6,0.33,0.53,0.12,0.57,0.56,0.17,0.6,0.13,0.79,0.72,0.48,0.57,0.09,0.61,0.92,0.62,0.78
