,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.35,0.17,0.38,0.43,0.38,0.46,0.38,0.42,0.41,0.4,0.12,0.38,0.42,0.43,0.29,0.4,0.39,0.49,0.21
badtrinity-zero.csv,0.24,0.41,0.18,0.25,0.31,0.32,0.34,0.42,0.36,0.14,0.41,0.28,0.3,0.22,0.19,0.31,0.31,0.34,0.31
boost.csv,0.2,0.23,0.18,0.17,0.18,0.19,0.15,0.14,0.22,0.21,0.18,0.22,0.22,0.16,0.22,0.14,0.2,0.18,0.25
critterding.csv,0.28,0.21,0.38,0.4,0.29,0.31,0.36,0.41,0.32,0.38,0.27,0.25,0.34,0.27,0.29,0.37,0.25,0.42,0.3
enzo.csv,0.34,0.37,0.25,0.44,0.38,0.37,0.37,0.38,0.44,0.37,0.31,0.35,0.36,0.28,0.28,0.39,0.38,0.48,0.3
etics.csv,0.4,0.15,0.11,0.12,0.34,0.12,0.15,0.28,0.44,0.14,0.14,0.14,0.14,0.11,0.18,0.24,0.25,0.4,0.27
fmri-dmt.csv,0.38,0.44,0.38,0.42,0.38,0.45,0.39,0.4,0.45,0.4,0.41,0.38,0.41,0.42,0.29,0.41,0.39,0.49,0.35
gusanos.csv,0.28,0.41,0.29,0.25,0.24,0.3,0.29,0.16,0.37,0.24,0.31,0.22,0.24,0.35,0.22,0.29,0.14,0.17,0.32
kftpgrabber.csv,0.4,0.13,0.31,0.11,0.3,0.11,0.16,0.33,0.11,0.12,0.17,0.13,0.14,0.13,0.26,0.3,0.39,0.46,0.23
kvs.csv,0.37,0.29,0.27,0.42,0.29,0.41,0.35,0.41,0.36,0.4,0.39,0.38,0.42,0.4,0.18,0.4,0.39,0.44,0.33
miranda.csv,0.17,0.24,0.11,0.17,0.28,0.32,0.23,0.32,0.19,0.18,0.4,0.24,0.21,0.31,0.19,0.26,0.24,0.14,0.27
modplug.csv,0.31,0.33,0.38,0.33,0.28,0.4,0.29,0.39,0.37,0.4,0.29,0.27,0.4,0.22,0.25,0.36,0.27,0.37,0.32
monetdb.csv,0.14,0.17,0.35,0.11,0.31,0.33,0.14,0.34,0.16,0.13,0.16,0.25,0.15,0.42,0.26,0.23,0.21,0.39,0.19
nativeclient.csv,0.27,0.17,0.2,0.25,0.27,0.27,0.28,0.36,0.22,0.31,0.17,0.22,0.18,0.23,0.21,0.3,0.24,0.33,0.26
ogrehg.csv,0.39,0.24,0.16,0.17,0.27,0.23,0.21,0.21,0.18,0.23,0.22,0.25,0.18,0.34,0.26,0.16,0.39,0.45,0.3
passwordsafe.csv,0.14,0.15,0.24,0.21,0.16,0.21,0.21,0.27,0.2,0.2,0.19,0.2,0.23,0.15,0.22,0.18,0.2,0.12,0.25
quarkplayer.csv,0.4,0.43,0.33,0.43,0.35,0.45,0.38,0.42,0.44,0.37,0.42,0.38,0.42,0.39,0.28,0.41,0.39,0.49,0.34
reactos-mirror.csv,0.22,0.27,0.38,0.26,0.27,0.33,0.21,0.29,0.21,0.31,0.32,0.28,0.29,0.31,0.19,0.23,0.39,0.36,0.35
sandiaportals.csv,0.36,0.43,0.38,0.25,0.27,0.38,0.27,0.3,0.39,0.4,0.41,0.29,0.4,0.36,0.19,0.23,0.35,0.35,0.33
