,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.96,0.8,1.0,0.99,1.0,0.99,0.94,1.0,0.95,1.0,0.81,1.0,1.0,1.0,1.0,0.95,1.0,0.99,0.64
badtrinity-zero.csv,0.73,0.97,0.48,0.5,0.86,0.6,0.85,0.99,0.63,0.84,0.99,0.76,0.69,0.89,0.57,0.68,0.53,0.87,0.76
boost.csv,0.68,0.61,0.49,0.67,0.89,0.53,0.63,0.85,0.5,0.59,0.65,0.65,0.46,0.78,0.68,0.65,0.55,0.78,0.55
critterding.csv,0.7,0.56,0.93,0.86,0.76,0.69,0.89,0.9,0.64,0.78,0.72,0.5,0.74,0.47,0.94,0.78,0.61,0.77,0.82
enzo.csv,0.88,0.86,0.55,1.0,0.99,0.88,0.97,0.93,0.96,0.9,0.68,1.0,0.82,0.37,0.97,0.96,0.96,0.97,0.86
etics.csv,1.0,0.72,0.62,0.8,0.9,0.77,0.56,0.76,0.99,0.74,0.73,0.73,0.47,0.85,0.69,0.77,0.87,0.94,0.69
fmri-dmt.csv,0.77,0.81,0.92,0.79,1.0,0.8,0.9,0.79,0.81,0.71,0.84,1.02,0.94,0.99,0.83,0.8,0.82,0.88,0.84
gusanos.csv,0.72,0.9,0.57,0.61,0.7,0.63,0.78,0.43,0.89,0.73,0.38,0.6,0.58,0.89,0.73,0.61,0.78,0.67,0.9
kftpgrabber.csv,1.0,0.71,0.85,0.79,0.8,0.77,0.53,0.75,0.84,0.92,0.55,0.69,0.36,0.83,0.99,0.82,1.0,0.98,0.74
kvs.csv,0.98,0.94,0.85,0.94,0.75,0.97,0.92,1.0,0.93,1.0,0.99,0.98,1.0,0.97,0.87,0.93,1.0,0.97,0.97
miranda.csv,0.74,0.88,0.48,0.57,0.79,0.57,0.56,0.72,0.64,0.7,0.97,0.71,0.51,0.9,0.54,0.62,0.48,0.8,0.55
modplug.csv,0.77,0.63,0.94,0.78,0.76,0.72,0.72,0.78,0.69,0.97,0.55,0.36,0.87,0.63,0.88,0.76,0.28,0.58,0.86
monetdb.csv,0.84,0.75,0.92,0.81,1.0,0.89,0.5,0.84,0.79,0.92,0.72,0.87,0.81,0.99,1.0,0.83,0.83,0.94,0.67
nativeclient.csv,0.73,0.63,0.47,0.62,0.74,0.58,0.8,0.9,0.58,0.78,0.7,0.36,0.48,0.55,0.67,0.71,0.43,0.52,0.68
ogrehg.csv,0.96,0.55,0.7,0.68,0.8,0.5,0.47,0.7,0.78,0.54,0.52,0.68,0.47,0.86,0.53,0.62,1.0,0.95,0.72
passwordsafe.csv,0.8,0.69,0.61,0.55,0.79,0.52,0.49,0.62,0.66,0.74,0.62,0.44,0.56,0.8,0.87,0.45,0.45,0.84,0.7
quarkplayer.csv,0.99,0.94,0.85,0.95,0.9,0.98,0.96,0.92,0.99,0.64,0.99,1.0,0.97,0.96,1.01,0.96,1.0,1.0,0.93
reactos-mirror.csv,0.47,0.52,0.98,0.59,0.75,0.69,0.55,0.59,0.55,0.63,0.84,0.47,0.55,0.88,0.7,0.51,1.0,0.63,0.99
sandiaportals.csv,0.68,0.78,0.91,0.64,0.91,0.64,0.55,0.61,0.61,0.85,0.9,0.56,0.94,0.99,0.87,0.45,0.39,0.57,0.8
