,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,kvs.csv,ogrehg.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv,sandiaportals.csv,nativeclient.csv,miranda.csv
alpine.csv,0.11,0.22,0.0,0.01,0.0,0.0,0.06,0.01,0.06,0.0,0.0,0.0,0.02,0.0,0.02,0.04,0.0,0.0,0.39
badtrinity-zero.csv,0.08,0.0,0.29,0.41,0.79,0.58,0.85,0.99,0.58,0.18,0.0,0.71,0.58,0.2,0.27,0.67,0.5,0.07,0.76
boost.csv,0.12,0.24,0.31,0.11,0.25,0.18,0.11,0.15,0.14,0.23,0.17,0.33,0.35,0.12,0.13,0.07,0.0,0.15,0.38
critterding.csv,0.51,0.24,0.93,0.83,0.75,0.57,0.87,0.89,0.5,0.76,0.59,0.29,0.73,0.4,0.94,0.77,0.44,0.74,0.76
enzo.csv,0.86,0.83,0.52,1.0,0.99,0.86,0.96,0.93,0.96,0.9,0.66,1.0,0.81,0.36,0.97,0.96,0.94,0.97,0.85
etics.csv,0.0,0.12,0.05,0.06,0.03,0.06,0.18,0.1,0.02,0.14,0.07,0.04,0.18,0.0,0.19,0.02,0.0,0.01,0.68
fmri-dmt.csv,0.44,0.66,0.05,0.62,0.32,0.61,0.29,0.42,0.68,0.54,0.66,0.88,0.55,0.88,0.03,0.46,0.67,0.73,0.26
gusanos.csv,0.68,0.9,0.55,0.52,0.54,0.57,0.78,0.28,0.85,0.58,0.38,0.38,0.55,0.0,0.65,0.59,0.11,0.13,0.9
kftpgrabber.csv,0.0,0.29,0.0,0.04,0.04,0.12,0.31,0.06,0.08,0.13,0.24,0.0,0.15,0.0,0.53,0.02,0.0,0.01,0.72
kvs.csv,0.03,0.07,0.02,0.04,0.04,0.07,0.08,0.04,0.06,0.01,0.07,0.0,0.0,0.0,0.24,0.03,0.06,0.01,0.09
miranda.csv,0.14,0.05,0.12,0.13,0.61,0.51,0.49,0.58,0.29,0.3,0.0,0.5,0.32,0.2,0.21,0.55,0.39,0.06,0.54
modplug.csv,0.72,0.54,0.93,0.71,0.74,0.72,0.72,0.78,0.68,0.97,0.45,0.29,0.87,0.24,0.73,0.75,0.22,0.45,0.84
monetdb.csv,0.18,0.12,0.0,0.06,0.09,0.03,0.1,0.08,0.23,0.16,0.0,0.0,0.11,0.0,0.1,0.06,0.0,0.02,0.46
nativeclient.csv,0.69,0.34,0.4,0.56,0.72,0.55,0.79,0.89,0.42,0.78,0.24,0.25,0.37,0.4,0.58,0.69,0.33,0.48,0.67
ogrehg.csv,0.01,0.22,0.07,0.13,0.07,0.19,0.34,0.23,0.06,0.28,0.17,0.54,0.29,0.8,0.5,0.08,0.0,0.04,0.7
passwordsafe.csv,0.1,0.12,0.4,0.28,0.24,0.33,0.38,0.52,0.37,0.38,0.28,0.04,0.45,0.08,0.56,0.16,0.0,0.05,0.62
quarkplayer.csv,0.0,0.0,0.05,0.02,0.01,0.04,0.04,0.0,0.02,0.09,0.03,0.0,0.0,0.28,0.15,0.01,0.0,0.0,0.02
reactos-mirror.csv,0.21,0.32,0.98,0.4,0.55,0.62,0.46,0.48,0.32,0.44,0.76,0.38,0.52,0.76,0.61,0.26,1.0,0.57,0.99
sandiaportals.csv,0.64,0.76,0.88,0.4,0.16,0.6,0.52,0.44,0.59,0.85,0.9,0.46,0.94,0.84,0.26,0.2,0.39,0.38,0.79
