,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.24,0.49,0.42,0.69,0.74,0.57,0.55,0.6,0.52,0.32,0.52
gabel.csv,0.18,0.28,0.43,0.4,0.86,0.41,0.51,0.3,0.15,0.35,0.18
javaprofiler.csv,0.51,0.49,0.45,0.58,0.46,0.33,0.55,0.48,0.6,0.56,0.66
jmoney.csv,0.91,0.65,0.52,0.51,0.43,0.12,0.43,0.33,0.15,0.61,0.1
mycila.csv,0.65,0.39,0.44,0.33,0.5,0.81,0.51,0.24,0.3,0.0,0.36
neodatis-odb.csv,0.56,0.33,0.62,0.56,0.14,0.34,0.1,0.43,0.15,0.46,0.29
servicestack.csv,0.0,0.02,0.22,0.0,0.0,0.12,0.01,0.04,0.73,0.0,0.01
sqlpower-library.csv,0.36,0.74,0.56,0.13,0.73,0.55,0.09,0.62,0.74,0.09,0.69
synecdoche.csv,0.7,0.36,0.47,0.24,0.69,0.24,0.48,0.54,0.43,0.65,0.3
tmva.csv,0.54,0.0,0.41,0.63,0.27,0.09,0.74,0.13,0.09,0.42,0.36
unicase.csv,0.41,0.65,0.56,0.5,0.73,0.6,0.29,0.72,0.45,0.4,0.13
