,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.65,0.14,0.96,0.21,0.2,0.49,0.63
fw4spl.csv,0.27,0.16,0.2,0.93,0.1,0.51,0.3
kftpgrabber.csv,0.52,0.32,0.37,0.28,0.21,0.97,0.56
kolmafia.csv,0.61,0.08,0.33,0.16,0.19,0.34,0.97
lazarus-ccr.csv,0.96,0.11,0.67,0.24,0.18,0.49,0.53
mia.csv,0.52,0.11,0.2,0.18,0.94,0.21,0.4
plee-the-bear.csv,0.42,0.94,0.29,0.13,0.0,0.12,0.43
