,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.37,0.43,0.53,0.5,0.41,0.42,0.44
fw4spl.csv,0.77,0.99,0.97,0.98,0.5,0.68,0.93
kftpgrabber.csv,0.59,0.79,0.77,0.99,0.9,0.57,0.41
kolmafia.csv,0.38,0.83,0.73,0.99,0.51,0.87,0.41
lazarus-ccr.csv,0.59,0.4,0.45,0.41,0.42,0.42,0.47
mia.csv,0.6,0.65,0.92,0.7,0.94,0.88,0.78
plee-the-bear.csv,0.5,0.97,0.98,0.93,0.83,0.94,0.78
