,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.64,0.98,1.0,0.51,1.0,1.02,0.31,1.0,0.69,0.63,0.69,0.8,0.64,0.62,0.82,0.44,0.89,0.69
brlcad.csv,0.96,0.45,0.57,0.77,0.55,1.05,0.51,0.7,0.77,0.8,0.87,0.81,0.85,0.85,0.75,0.5,0.94,0.64
genoviz.csv,0.72,0.94,1.0,0.5,1.0,1.09,0.69,0.86,0.63,0.6,0.75,0.86,0.85,0.91,0.69,0.83,0.82,0.07
gnupdate.csv,0.8,0.6,0.65,0.82,0.26,0.43,0.65,0.64,0.71,0.71,0.81,0.59,0.87,0.44,0.63,0.68,0.67,0.85
google-gears.csv,0.68,0.72,0.66,0.83,0.83,0.83,0.96,0.85,0.9,0.79,0.57,0.86,0.8,0.44,0.82,0.94,0.9,0.87
konversation.csv,0.41,0.75,0.59,0.32,0.37,0.68,0.53,0.53,0.51,0.73,0.68,0.63,0.64,0.6,0.69,0.53,0.81,0.83
linux-ntfs.csv,0.57,0.75,0.87,0.87,0.97,1.03,0.6,0.77,0.66,0.79,0.88,0.78,0.83,0.7,0.46,0.67,0.69,0.67
linuxsh.csv,0.69,0.79,0.58,0.92,0.73,0.96,0.71,0.71,0.67,0.73,0.92,0.73,0.8,0.85,1.01,0.61,0.93,0.61
modplug.csv,0.96,0.92,1.0,0.77,0.96,1.03,0.96,0.92,0.63,0.83,0.38,0.76,0.61,0.78,0.8,0.67,0.71,0.96
nativeclient.csv,0.61,0.73,0.68,0.58,0.69,0.92,0.56,0.53,0.52,0.81,0.36,0.67,0.47,0.56,0.76,0.45,0.44,0.74
ogre.csv,0.93,0.74,0.84,0.88,0.74,0.05,0.68,0.8,0.79,0.97,0.66,0.94,0.78,0.87,0.52,0.85,0.85,0.76
openfrag.csv,0.88,0.77,0.66,0.52,0.45,1.32,0.98,0.74,0.66,0.53,0.42,0.37,0.47,0.6,1.0,0.62,0.61,0.91
projecteqemu.csv,0.43,0.74,0.68,0.43,0.72,1.03,0.47,0.48,0.41,0.37,0.56,0.8,0.69,0.76,0.64,0.64,0.59,0.73
qse.csv,0.7,0.83,0.66,0.47,0.9,0.98,0.95,0.26,0.88,0.57,0.81,0.74,0.71,0.54,1.01,0.96,0.71,0.95
sandiaportals.csv,0.96,0.94,0.91,0.45,0.53,1.0,0.68,0.64,0.59,0.52,0.49,0.37,0.5,0.55,0.96,0.28,0.54,0.91
sauerbraten.csv,0.29,0.98,1.0,0.99,1.0,1.0,0.98,1.0,0.77,0.91,0.88,1.0,0.97,0.92,1.0,0.89,0.99,1.23
turbotrader-bos.csv,0.5,0.76,0.74,0.44,0.62,1.05,0.41,0.3,0.38,0.44,0.47,0.61,0.49,0.78,0.75,0.48,0.8,0.67
xapian.csv,0.7,0.77,0.77,0.64,0.61,1.1,0.63,0.53,0.78,0.68,0.49,0.8,0.38,0.98,0.7,0.68,0.91,0.89
