,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,2.0,0.0,65.0,20.0,105.0,0.0,2.0,81.0,6.0,2.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,11.0
brlcad.csv,6.0,5.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,7.0
genoviz.csv,3.0,0.0,65.0,4.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gnupdate.csv,6.0,4.0,2.0,15.0,0.0,0.0,9.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,24.0
google-gears.csv,3.0,4.0,2.0,16.0,2.0,0.0,9.0,4.0,7.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,26.0
konversation.csv,2.0,1.0,3.0,3.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0,7.0,1.0,2.0,0.0,0.0,25.0
linux-ntfs.csv,1.0,3.0,1.0,21.0,15.0,0.0,2.0,7.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,15.0
linuxsh.csv,2.0,0.0,2.0,8.0,21.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,5.0
modplug.csv,6.0,4.0,4.0,28.0,2.0,0.0,9.0,6.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,26.0
nativeclient.csv,4.0,4.0,2.0,15.0,2.0,0.0,2.0,6.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,22.0
ogre.csv,3.0,0.0,7.0,21.0,4.0,0.0,8.0,9.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,19.0
openfrag.csv,4.0,0.0,0.0,22.0,1.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,22.0
projecteqemu.csv,1.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0
qse.csv,0.0,1.0,1.0,17.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0,14.0,0.0,54.0,0.0,1.0,26.0
sandiaportals.csv,5.0,4.0,4.0,13.0,2.0,0.0,6.0,12.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,24.0
sauerbraten.csv,1.0,3.0,4.0,21.0,2.0,0.0,8.0,7.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,34.0
turbotrader-bos.csv,1.0,0.0,0.0,10.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,20.0
xapian.csv,2.0,0.0,10.0,18.0,2.0,0.0,4.0,8.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,24.0
