,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.67,0.43,0.65,0.19,0.27,0.56,0.22,0.82,0.7,0.5,0.51,0.45,0.68,0.24
exordium.csv,0.7,0.4,0.62,0.31,0.55,0.6,0.48,0.91,0.63,0.51,0.57,0.51,0.91,0.29
google-caja.csv,0.67,0.55,0.58,0.24,0.38,0.51,0.24,0.92,0.44,0.32,0.41,0.46,0.66,0.25
hydrogen.csv,0.62,0.0,0.49,0.21,0.0,0.47,0.42,0.74,0.42,0.22,0.41,0.39,0.63,0.2
kmess.csv,0.83,0.4,0.63,0.2,0.26,0.7,0.32,0.86,0.56,0.31,0.62,0.44,0.73,0.22
kvs.csv,0.0,0.0,0.59,0.5,0.0,0.27,0.0,0.83,0.57,0.35,0.25,0.24,0.65,0.18
megameknet.csv,0.63,0.5,0.57,0.26,0.34,0.49,0.34,0.74,0.55,0.48,0.41,0.43,0.67,0.24
ns-3-dev-def-routing.csv,0.69,0.21,0.51,0.18,0.44,0.43,0.15,0.67,0.43,0.25,0.55,0.53,0.71,0.28
open-ms.csv,0.86,0.6,0.65,0.34,0.3,0.67,0.43,0.87,0.61,0.38,0.37,0.42,0.76,0.31
openmsx.csv,0.83,0.43,0.46,0.19,0.27,0.64,0.12,0.67,0.42,0.21,0.58,0.39,0.68,0.22
rezilla.csv,0.64,0.59,0.54,0.23,0.33,0.52,0.26,1.0,0.59,0.38,0.37,0.4,0.65,0.21
sauerbraten.csv,0.82,0.31,0.48,0.2,0.28,0.53,0.14,0.85,0.43,0.23,0.41,0.39,0.61,0.2
webdriver.csv,0.73,0.33,0.7,0.25,0.44,0.7,0.22,0.83,0.56,0.39,0.53,0.5,0.74,0.31
yafdotnet.csv,0.67,0.75,0.57,0.23,0.38,0.56,0.27,0.75,0.66,0.26,0.43,0.41,0.7,0.22
