,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.62,0.2,0.35,0.8,0.77,0.35,0.45,0.11,0.06,0.14,0.23,0.53,0.64,0.66
exordium.csv,0.58,0.08,0.26,0.12,0.25,0.22,0.11,0.19,0.25,0.16,0.13,0.28,0.05,0.35
google-caja.csv,0.75,0.12,0.45,0.63,0.38,0.8,0.37,0.22,0.89,0.47,0.47,0.58,0.6,0.64
hydrogen.csv,1.0,0.0,1.0,1.0,0.0,0.93,0.19,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.04,0.15,0.27,0.72,0.5,0.15,0.17,0.07,0.08,0.08,0.03,0.39,0.44,0.64
kvs.csv,0.0,0.0,0.21,0.21,0.11,0.3,0.02,0.33,0.15,0.18,0.19,0.29,0.13,0.34
megameknet.csv,0.79,0.1,0.4,0.53,0.59,0.69,0.23,0.93,0.26,0.23,0.37,0.68,0.51,0.65
ns-3-dev-def-routing.csv,0.71,0.28,0.38,0.12,0.27,0.61,0.55,0.81,0.64,0.61,0.19,0.37,0.36,0.12
open-ms.csv,0.08,0.05,0.27,0.51,0.34,0.19,0.13,0.22,0.2,0.29,0.18,0.51,0.31,0.34
openmsx.csv,0.04,0.32,0.5,0.89,0.93,0.17,0.94,0.56,0.66,0.83,0.28,0.65,0.45,0.57
rezilla.csv,0.71,0.28,0.61,0.7,0.43,0.35,0.31,0.0,0.2,0.2,0.55,0.66,0.75,0.77
sauerbraten.csv,0.25,0.82,0.88,0.97,0.86,0.67,0.98,0.15,0.79,0.94,0.93,0.86,0.95,0.83
webdriver.csv,0.5,0.2,0.18,0.47,0.39,0.24,0.47,0.19,0.24,0.28,0.21,0.39,0.35,0.3
yafdotnet.csv,0.71,0.02,0.44,0.75,0.36,0.33,0.32,0.89,0.27,0.78,0.47,0.56,0.4,0.71
