,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.43,0.34,0.0,0.25,0.55,0.12,0.7,0.4,0.53,0.18,0.23,0.6,0.49,0.5,0.73,0.15
biodwh.csv,0.11,0.14,0.18,0.0,0.19,0.04,0.09,0.01,0.02,0.67,0.43,0.05,0.07,0.02,0.0,0.15
blue-c.csv,0.37,0.4,0.47,0.23,0.51,0.0,0.31,0.21,0.26,0.53,0.19,0.53,0.45,0.44,0.49,0.1
cities3d.csv,0.31,0.09,0.86,0.11,0.0,0.0,0.85,0.15,0.72,0.95,0.9,0.07,0.17,0.19,0.63,0.1
firebird.csv,0.17,0.01,0.38,0.39,0.26,0.12,0.31,0.4,0.34,0.35,0.16,0.51,0.39,0.45,0.34,0.22
jcache.csv,0.4,0.39,0.32,0.3,0.47,0.48,0.41,0.51,0.58,0.06,0.17,0.19,0.31,0.44,0.66,0.0
jparsec.csv,0.6,0.68,0.4,0.98,0.6,0.64,0.41,0.73,0.77,0.78,0.0,0.91,0.71,0.59,0.68,0.24
mscore.csv,0.51,0.39,0.41,0.59,0.62,0.28,0.5,0.01,0.5,0.15,0.58,0.33,0.48,0.46,0.54,0.12
nabu-library.csv,0.66,0.56,0.7,0.43,0.67,0.52,0.63,0.45,0.61,0.01,0.81,0.58,0.54,0.64,0.68,0.83
ns-3-dev-def-routing.csv,0.31,0.27,0.25,0.23,0.08,0.0,0.19,0.08,0.41,0.52,0.38,0.26,0.0,0.24,0.18,0.17
open-ms.csv,0.69,0.63,0.7,0.25,0.51,0.76,0.28,0.56,0.33,0.73,0.2,0.37,0.63,0.01,0.96,0.9
popeye-chess.csv,0.46,0.47,0.53,0.0,0.77,0.32,0.61,0.35,0.58,0.28,0.65,0.6,0.54,0.51,0.59,0.24
qgo.csv,0.0,0.3,0.23,0.07,0.71,0.0,0.26,0.2,0.16,0.23,0.23,0.47,0.34,0.26,0.44,0.1
webdriver.csv,0.4,0.33,0.37,0.36,0.33,0.04,0.0,0.15,0.18,0.71,0.32,0.65,0.26,0.18,0.3,0.05
xined.csv,0.83,0.07,0.62,0.02,0.03,0.0,0.67,0.08,0.38,0.72,0.74,0.0,0.03,0.04,0.37,0.8
yafdotnet.csv,0.31,0.28,0.36,0.07,0.48,0.12,0.3,0.47,0.01,0.6,0.2,0.42,0.41,0.4,0.41,0.07
