,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.36,0.17,0.34,0.21,0.31,0.62,0.0,0.02,0.37,0.41,0.02,0.13,0.27,0.04,0.35,0.39
bdbbasic.csv,0.7,0.5,0.41,0.44,0.39,0.73,0.17,0.26,0.7,0.21,0.62,0.57,0.52,0.54,0.68,0.6
crux-framework.csv,0.42,0.45,0.29,0.29,0.31,0.3,0.47,0.31,0.51,0.39,0.51,0.19,0.39,0.52,0.97,0.09
echongl.csv,0.51,0.31,0.33,0.56,0.53,0.49,0.26,0.42,0.7,0.82,0.52,0.56,0.48,0.59,0.52,0.53
etherboot.csv,0.0,0.78,0.0,0.06,0.56,0.23,0.0,0.13,0.52,0.0,0.67,0.0,0.09,0.0,0.66,0.24
freebios.csv,0.32,0.37,0.14,0.49,0.51,0.35,0.67,0.36,0.51,0.53,0.4,0.41,0.43,0.27,0.62,0.13
gebr.csv,0.38,0.0,0.48,0.54,0.54,0.21,0.0,0.72,0.09,0.0,0.63,0.29,0.67,0.42,0.0,0.0
gnukeda.csv,0.6,0.36,0.34,0.77,0.36,0.28,0.23,0.24,0.0,0.05,0.16,0.24,0.42,0.02,0.32,0.42
google-gears.csv,0.73,0.71,0.52,0.48,0.61,0.35,0.34,0.68,0.65,0.21,0.51,0.61,0.68,0.71,0.76,0.24
gstreamer.csv,0.67,0.33,0.21,0.54,0.51,0.51,0.37,0.52,0.63,0.43,0.61,0.64,0.57,0.72,0.49,0.0
jnode.csv,0.04,0.4,0.76,0.4,0.0,0.0,0.12,0.4,0.25,0.12,0.05,0.06,0.16,0.02,0.37,0.05
metacosm.csv,0.27,0.6,0.61,0.37,0.21,0.52,0.05,0.48,0.19,0.38,0.49,0.54,0.3,0.28,0.37,0.73
openmeetings.csv,0.59,0.88,0.65,0.25,0.54,0.61,0.05,0.49,0.42,0.5,0.61,0.3,0.33,0.28,0.68,0.58
pgui.csv,0.56,0.09,0.0,0.64,0.55,0.55,0.1,0.68,0.59,0.05,0.72,0.51,0.64,0.0,0.0,0.0
tradelink.csv,0.27,0.69,0.64,0.5,0.31,0.61,0.59,0.61,0.64,0.68,0.6,0.72,0.32,0.49,0.35,0.6
wxcrp.csv,0.59,0.23,0.36,0.53,0.0,0.09,0.23,0.0,0.6,0.51,0.13,0.76,0.58,0.35,0.33,0.23
