,flylinkdc.csv,powerfolder-.csv,ltp.csv,pfaedit.csv,aime.csv,qtwin.csv
aime.csv,0.15,0.0,0.8,0.47,0.53,0.02
flylinkdc.csv,0.61,0.49,0.73,0.75,0.36,0.01
ltp.csv,0.3,0.45,0.79,0.68,0.32,0.0
pfaedit.csv,0.49,0.48,0.27,0.79,0.32,0.03
powerfolder-.csv,0.55,0.64,0.39,0.3,0.29,0.01
qtwin.csv,0.0,0.39,0.0,0.0,0.12,0.05
