,vdsf.csv,n2cms.csv,apolloplayer.csv,nuttx.csv,maidsafe-dht.csv,nug.csv,redshell.csv,nassp.csv,oppna-program-hsatools.csv,grisbi.csv,tcvp.csv,tart.csv,dspace-gsoc.csv,zabbix.csv,super-tux.csv,mesa3d.csv,ninject.csv,oorexx.csv,web-cat.csv
apolloplayer.csv,0.08,0.33,1.0,0.82,0.17,0.41,0.98,0.23,0.8,0.84,0.2,0.1,0.67,0.4,0.95,0.22,0.07,0.61,0.39
dspace-gsoc.csv,0.07,0.43,0.21,0.77,0.18,0.33,0.95,0.24,0.98,0.95,0.0,0.04,1.0,0.67,1.0,0.19,0.1,0.5,0.4
grisbi.csv,0.09,0.46,0.27,0.83,0.27,0.26,0.95,0.29,0.89,1.0,0.12,0.07,0.7,0.36,0.98,0.26,0.11,0.57,0.41
maidsafe-dht.csv,0.15,0.55,0.26,0.81,1.0,0.39,0.98,0.5,0.81,0.95,0.0,0.06,0.77,0.75,0.94,0.22,1.0,0.8,0.45
mesa3d.csv,0.11,0.32,0.23,0.82,0.2,0.38,0.95,0.13,0.77,0.9,0.15,0.07,0.56,0.75,0.93,0.96,0.04,0.52,0.39
n2cms.csv,0.12,1.0,0.31,0.77,0.4,0.2,0.97,0.32,0.94,0.98,0.0,0.03,0.77,0.41,1.0,0.19,0.11,0.55,0.52
nassp.csv,0.1,0.41,0.42,0.81,0.47,0.43,0.95,1.0,0.94,1.0,0.0,0.07,0.58,1.0,1.0,0.36,0.25,0.5,0.42
ninject.csv,0.1,0.35,0.4,0.77,0.17,0.0,0.86,0.17,0.81,0.0,0.0,0.0,0.5,0.0,1.0,0.26,1.0,0.0,0.41
nug.csv,0.09,0.45,0.25,0.82,0.17,1.0,0.97,0.3,0.87,0.36,0.12,0.05,0.6,0.92,0.94,0.26,0.12,0.67,0.27
nuttx.csv,0.08,0.46,0.24,0.99,0.24,0.29,0.98,0.27,0.84,0.95,0.16,0.05,0.66,0.29,0.98,0.25,0.17,0.66,0.33
oorexx.csv,0.04,0.38,0.31,0.89,0.28,0.28,0.96,0.37,0.68,0.83,0.11,0.07,0.54,0.33,1.0,0.22,0.1,0.97,0.35
oppna-program-hsatools.csv,0.09,0.39,0.23,0.82,0.19,0.28,0.96,0.23,0.99,0.92,0.0,0.06,0.65,0.54,0.94,0.21,0.08,0.58,0.38
redshell.csv,0.09,0.4,0.24,0.82,0.19,0.33,1.0,0.21,0.85,0.82,0.11,0.05,0.64,0.4,0.95,0.2,0.08,0.58,0.35
super-tux.csv,0.09,0.42,0.22,0.83,0.19,0.32,0.96,0.21,0.8,0.82,0.11,0.05,0.68,0.4,1.0,0.21,0.11,0.59,0.36
tart.csv,0.33,0.4,0.0,1.0,0.0,0.0,1.0,0.0,0.71,1.0,0.0,1.0,0.5,0.0,1.0,0.25,0.07,0.67,1.0
tcvp.csv,0.0,0.38,1.0,0.86,0.0,0.0,0.89,0.0,0.89,1.0,1.0,0.2,0.73,1.0,0.75,0.17,0.0,0.75,0.27
vdsf.csv,0.76,0.42,0.27,0.79,0.19,0.27,0.96,0.21,0.82,0.82,0.11,0.06,0.63,0.39,0.93,0.21,0.08,0.58,0.38
web-cat.csv,0.0,0.27,0.35,0.87,0.2,0.35,0.96,0.35,0.71,0.79,0.05,0.1,0.83,0.28,0.94,0.25,0.0,0.57,1.0
zabbix.csv,0.12,0.38,0.25,0.83,0.22,0.33,0.95,0.28,0.82,0.87,0.11,0.07,0.69,1.0,0.97,0.22,0.11,0.61,0.4
