,micomt.csv,jmoney.csv,columba.csv,owlib.csv,applet2app.csv,atunes.csv
applet2app.csv,0.28,0.5,0.53,0.59,0.51,0.06
atunes.csv,0.13,0.4,0.4,0.52,0.43,0.12
columba.csv,0.13,0.48,0.5,0.56,0.44,0.08
jmoney.csv,0.14,0.8,0.54,0.5,0.55,0.1
micomt.csv,0.55,0.34,0.26,0.42,0.37,0.04
owlib.csv,0.12,0.44,0.45,0.59,0.46,0.09
