,micomt.csv,jmoney.csv,columba.csv,owlib.csv,applet2app.csv,atunes.csv
applet2app.csv,0.42,0.66,0.45,0.58,0.63,0.74
atunes.csv,0.34,0.67,0.68,0.59,0.56,0.84
columba.csv,0.42,0.72,0.65,0.5,0.65,0.74
jmoney.csv,0.4,0.82,0.51,0.53,0.45,0.76
micomt.csv,0.85,0.54,0.48,0.45,0.47,0.17
owlib.csv,0.38,0.76,0.75,0.7,0.62,0.81
