,micomt.csv,jmoney.csv,columba.csv,owlib.csv,applet2app.csv,atunes.csv
applet2app.csv,0.38,0.65,0.4,0.55,0.62,0.95
atunes.csv,0.62,0.85,0.72,0.58,0.56,0.86
columba.csv,0.46,0.75,0.63,0.46,0.7,0.77
jmoney.csv,0.38,0.8,0.46,0.51,0.4,0.77
micomt.csv,0.85,0.55,0.63,0.91,0.89,1.0
owlib.csv,0.38,1.0,0.8,0.71,0.63,0.86
