,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.72,1.0,0.04,0.33,0.77,0.81,0.47,0.15,0.17,0.84
libtorrent.csv,0.69,0.44,0.05,0.32,0.75,0.98,0.55,0.15,0.2,0.85
mcmc-jags.csv,0.82,0.34,0.11,1.0,0.73,0.89,0.59,0.16,0.16,0.87
nebuladevice.csv,0.54,0.67,0.17,0.25,0.81,0.74,0.92,0.33,1.0,0.79
olap-navigator.csv,1.0,0.47,0.05,0.58,0.84,0.93,0.51,0.19,0.28,0.88
pidgin.csv,0.75,0.43,0.06,0.37,1.0,0.84,0.62,0.19,0.23,0.86
salasaga.csv,0.68,0.43,0.05,0.25,0.71,0.82,0.52,1.0,0.15,0.85
sepgsql.csv,0.62,0.5,1.0,1.0,0.8,0.67,0.5,0.33,0.0,0.94
xstore.csv,0.81,0.4,0.07,0.44,0.83,0.94,1.0,0.23,0.12,0.87
xtreemfs.csv,0.75,0.38,0.1,0.5,0.88,0.94,0.72,0.24,0.23,1.0
