,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,1.0,0.0,25.0,3.0,1.0,0.0,2.0,61.0,1.0,2.0
libtorrent.csv,0.0,0.0,26.0,0.0,1.0,0.0,4.0,61.0,3.0,4.0
mcmc-jags.csv,0.0,0.0,4.0,0.0,1.0,0.0,1.0,56.0,2.0,1.0
nebuladevice.csv,0.0,1.0,20.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0
olap-navigator.csv,0.0,0.0,34.0,0.0,0.0,0.0,6.0,26.0,6.0,3.0
pidgin.csv,0.0,0.0,20.0,1.0,0.0,0.0,2.0,21.0,0.0,2.0
salasaga.csv,0.0,0.0,52.0,0.0,2.0,1.0,5.0,0.0,7.0,4.0
sepgsql.csv,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,85.0,1.0
xstore.csv,0.0,0.0,27.0,0.0,0.0,0.0,0.0,7.0,20.0,3.0
xtreemfs.csv,0.0,2.0,3.0,0.0,0.0,1.0,2.0,7.0,7.0,0.0
