,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.42,1.0,0.26,0.16,0.64,0.46,0.47,0.13,0.37,0.31
libtorrent.csv,0.51,0.52,0.4,0.65,0.53,0.98,0.4,0.0,0.45,0.36
mcmc-jags.csv,0.61,0.39,0.48,0.94,0.57,0.52,0.64,0.58,0.47,0.66
nebuladevice.csv,0.35,0.11,0.35,0.09,0.35,0.21,0.28,0.17,1.0,0.09
olap-navigator.csv,0.98,0.57,0.54,0.74,0.68,0.61,0.5,0.65,0.61,0.66
pidgin.csv,0.58,0.56,0.68,0.5,0.98,0.55,0.67,0.67,0.7,0.61
salasaga.csv,0.43,0.41,0.57,0.2,0.37,0.23,0.49,1.0,0.47,0.42
sepgsql.csv,0.19,0.17,0.97,0.09,0.09,0.02,0.05,0.05,0.0,0.12
xstore.csv,0.7,0.51,0.7,0.56,0.71,0.51,1.0,0.63,0.35,0.63
xtreemfs.csv,0.65,0.49,0.72,0.16,0.53,0.5,0.63,0.5,0.5,1.0
