,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.53,0.98,0.47,0.43,0.46,0.44,0.52,0.52,0.5,0.41
jmule.csv,0.49,0.59,0.07,0.63,0.68,0.48,0.41,0.68,0.72,0.99
nosleepsoftware.csv,0.47,0.49,1.0,0.06,0.07,0.04,0.51,0.32,0.25,0.46
open-ms.csv,0.32,0.59,0.71,0.13,0.42,0.44,0.43,0.89,0.34,0.52
qgo.csv,1.0,0.52,0.43,0.19,0.19,0.26,0.69,0.4,0.45,0.68
rezilla.csv,0.37,0.44,0.24,0.91,0.55,0.56,0.4,0.51,0.21,0.36
riff-evolve.csv,0.65,0.31,0.14,0.41,0.44,0.98,0.67,0.4,0.38,0.48
uwom.csv,0.57,0.26,0.42,0.13,0.31,0.35,0.64,0.6,0.98,0.47
virtuoso.csv,0.24,0.31,0.52,0.53,0.65,0.52,0.96,0.55,0.74,0.69
yield.csv,0.72,0.61,0.56,0.6,0.98,0.66,0.58,0.65,0.65,0.5
