,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.58,0.02,0.65,0.89,0.67,0.65,0.56,0.68,0.59,0.73
jmule.csv,0.67,0.64,1.09,0.51,0.62,0.62,0.88,0.6,0.5,0.03
nosleepsoftware.csv,0.63,0.61,0.0,0.95,0.94,0.97,0.61,0.76,0.8,0.66
open-ms.csv,0.92,0.7,0.48,0.99,0.77,0.78,0.73,0.13,0.86,0.8
qgo.csv,0.0,0.59,0.63,0.85,0.84,0.78,0.45,0.68,0.67,0.51
rezilla.csv,0.89,0.87,0.94,0.11,0.8,0.77,0.88,0.82,0.95,0.9
riff-evolve.csv,0.43,0.8,0.9,0.67,0.64,0.02,0.63,0.68,0.74,0.68
uwom.csv,0.65,0.78,0.68,0.91,0.77,0.71,0.65,0.55,0.03,0.58
virtuoso.csv,0.94,0.74,0.74,0.73,0.63,0.8,0.05,0.77,0.39,0.59
yield.csv,0.59,0.63,0.7,0.52,0.02,0.67,0.77,0.67,0.65,0.83
