,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.6,0.13,0.79,0.85,0.95,0.81,0.77,0.69,0.58,0.81,0.65,0.71,0.7
freewrl.csv,0.61,0.57,0.97,0.63,0.76,0.06,0.68,0.62,0.71,0.73,0.32,0.71,0.74
fulguro.csv,0.79,0.82,0.33,0.87,0.78,0.78,0.94,0.92,0.77,0.96,0.97,0.27,0.95
google-web-toolkit.csv,0.85,0.87,0.66,0.73,0.61,0.87,0.01,0.87,0.85,0.68,0.43,0.84,0.88
jcache.csv,0.46,0.68,0.7,0.42,0.65,0.83,0.63,0.63,0.61,0.81,0.04,0.68,0.56
jstock.csv,0.72,0.97,0.96,0.83,0.85,1.0,0.8,0.72,0.08,0.85,0.82,0.95,0.82
mimosa.csv,0.71,1.01,0.97,0.03,0.67,0.93,0.66,0.78,0.71,0.62,0.34,0.93,0.69
miranda.csv,0.52,0.64,0.78,0.59,0.58,1.0,0.77,0.63,0.79,0.86,0.6,0.7,0.01
ns-3-dev-def-routing.csv,0.52,0.78,0.56,0.67,0.65,0.71,0.74,0.04,0.82,0.85,0.93,0.95,0.62
ossbuild.csv,0.57,0.77,0.16,0.64,0.53,0.67,0.76,0.61,0.86,0.79,0.82,0.72,0.57
qtractor.csv,0.11,0.72,0.9,0.59,0.51,0.82,0.71,0.58,0.85,0.77,0.63,0.64,0.57
quarkplayer.csv,1.02,0.66,1.0,0.95,0.27,0.82,0.83,0.85,0.92,0.62,0.94,0.73,0.95
synergyspace.csv,0.9,0.77,0.81,0.87,0.83,0.93,0.76,0.85,0.94,0.12,0.88,0.74,0.99
