,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.61,0.93,0.5,0.26,0.18,0.48,0.32,0.51,0.54,0.54,0.38,0.36,0.64
freewrl.csv,0.71,0.74,0.44,0.74,0.55,0.96,0.67,0.65,0.85,0.5,0.82,0.45,0.82
fulguro.csv,0.25,0.31,0.72,0.13,0.27,0.26,0.07,0.09,0.23,0.04,0.03,0.73,0.11
google-web-toolkit.csv,0.18,0.55,0.75,0.37,0.45,0.15,0.99,0.15,0.15,0.35,0.76,0.18,0.13
jcache.csv,0.57,0.52,0.53,0.74,0.45,0.19,0.62,0.6,0.54,0.23,0.97,0.36,0.6
jstock.csv,0.29,0.03,0.06,0.18,0.18,0.0,0.21,0.29,0.92,0.15,0.18,0.09,0.2
mimosa.csv,0.75,0.75,1.0,0.97,0.82,0.07,0.57,0.78,0.38,0.5,0.74,0.73,0.55
miranda.csv,0.61,0.61,0.38,0.42,0.64,0.0,0.29,0.52,0.23,0.15,0.41,0.64,0.99
ns-3-dev-def-routing.csv,0.57,0.85,0.78,0.53,0.64,0.59,0.31,0.96,0.23,0.23,0.32,0.27,0.48
ossbuild.csv,0.46,0.36,0.84,0.37,0.55,0.44,0.26,0.68,0.15,0.23,0.18,0.64,0.53
qtractor.csv,0.89,0.35,0.91,0.42,0.73,0.19,0.33,0.54,0.15,0.27,0.38,0.45,0.59
quarkplayer.csv,0.11,0.49,0.0,0.05,0.73,0.52,0.2,0.27,0.46,0.62,0.06,0.36,0.06
synergyspace.csv,0.11,0.4,0.31,0.13,0.18,0.07,0.3,0.17,0.08,0.88,0.12,0.27,0.01
