,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.61,0.93,0.18,0.3,0.05,0.47,0.41,0.45,0.4,0.26,0.47,0.21,0.66
freewrl.csv,0.66,0.72,0.13,0.62,0.11,0.96,0.64,0.53,0.41,0.28,0.77,0.19,0.75
fulguro.csv,0.34,0.39,0.49,0.23,0.11,0.35,0.12,0.15,0.35,0.06,0.06,0.84,0.17
google-web-toolkit.csv,0.26,0.54,0.25,0.42,0.17,0.23,0.99,0.21,0.22,0.33,0.69,0.15,0.21
jcache.csv,0.67,0.57,0.21,0.7,0.14,0.28,0.63,0.51,0.38,0.21,0.97,0.23,0.67
jstock.csv,0.43,0.06,0.05,0.27,0.08,0.0,0.32,0.39,0.92,0.2,0.29,0.06,0.31
mimosa.csv,0.65,0.63,0.23,0.99,0.15,0.12,0.59,0.53,0.3,0.34,0.74,0.18,0.6
miranda.csv,0.64,0.64,0.16,0.54,0.16,0.0,0.38,0.48,0.25,0.17,0.54,0.22,0.99
ns-3-dev-def-routing.csv,0.63,0.73,0.29,0.51,0.14,0.56,0.41,0.98,0.21,0.17,0.31,0.1,0.58
ossbuild.csv,0.57,0.44,0.86,0.5,0.2,0.5,0.37,0.55,0.19,0.24,0.3,0.21,0.63
qtractor.csv,0.94,0.46,0.23,0.54,0.18,0.29,0.44,0.51,0.21,0.25,0.51,0.23,0.65
quarkplayer.csv,0.14,0.56,0.0,0.1,0.84,0.49,0.3,0.28,0.24,0.36,0.11,0.19,0.11
synergyspace.csv,0.18,0.47,0.15,0.22,0.12,0.13,0.4,0.24,0.1,0.94,0.21,0.26,0.02
