,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,stemkit.csv,all-plasm.csv,acdk.csv,mp-rechnungs-und-kundenverwaltung.csv,xinity.csv,gss.csv,linux-ntfs.csv,buddata-ebxml-registry.csv,libarchive.csv,jmule.csv
acdk.csv,0.37,0.07,0.14,0.08,0.06,0.29,0.42,0.34,0.32,0.03,0.63,0.2,0.4,0.62,0.05,0.59,0.25,0.21,0.17
all-plasm.csv,0.3,0.02,0.11,0.22,0.0,0.05,0.24,0.52,0.32,0.36,0.23,0.17,0.47,0.23,0.8,0.21,0.75,0.04,0.17
awemud.csv,0.43,0.13,0.21,0.5,0.17,0.05,0.39,0.5,0.18,0.72,0.23,0.19,0.33,0.19,0.65,0.48,0.25,0.04,0.03
buddata-ebxml-registry.csv,0.93,1.0,0.86,0.72,1.0,1.0,0.74,0.9,0.79,0.89,0.97,0.77,0.95,0.96,0.95,1.0,0.0,0.75,0.97
bullet.csv,0.6,0.69,0.79,0.26,0.28,0.33,0.42,0.38,0.03,0.81,0.6,0.49,0.6,0.27,0.65,0.03,0.25,0.47,0.79
dvd-create.csv,0.4,0.6,0.45,0.93,0.17,0.29,0.82,0.52,0.63,0.92,0.3,0.86,0.6,0.46,0.9,0.79,0.0,0.53,0.38
gbif-indexingtoolkit.csv,0.5,0.27,0.16,0.89,0.33,0.29,0.45,0.3,0.69,0.47,0.53,0.48,0.29,0.23,0.55,0.48,0.25,0.81,0.07
go.csv,0.7,0.18,0.36,0.78,0.61,0.33,0.67,0.86,0.69,0.58,0.8,0.52,0.88,0.69,0.75,0.83,0.5,0.51,0.86
gss.csv,0.77,0.89,0.77,0.11,0.39,0.81,0.49,0.76,0.58,0.68,1.0,0.71,0.99,1.0,0.2,0.66,0.0,0.35,1.0
jmule.csv,0.73,0.29,0.32,0.81,0.33,0.43,0.65,0.76,1.0,0.46,0.63,0.45,0.6,0.69,0.8,0.97,0.5,0.56,0.14
kwave.csv,0.6,1.0,0.2,1.0,1.0,0.33,0.74,0.76,0.7,0.75,0.93,0.82,0.92,0.88,0.6,0.69,0.5,1.0,0.83
libarchive.csv,0.9,0.4,0.64,0.5,0.44,0.76,0.58,0.98,0.72,0.9,1.0,0.78,0.97,0.92,0.7,0.83,0.5,0.26,0.83
linux-ntfs.csv,0.43,0.64,0.86,0.21,0.5,0.48,0.39,0.4,0.09,0.65,0.83,0.7,0.5,0.81,0.75,0.48,0.5,0.34,0.69
lsb.csv,0.4,0.62,0.62,0.31,0.83,0.38,0.26,0.3,0.38,0.35,0.77,0.1,0.3,0.62,0.8,0.41,0.0,0.41,0.45
mp-rechnungs-und-kundenverwaltung.csv,0.2,0.02,0.3,0.01,0.0,0.43,0.28,0.44,0.24,0.0,0.77,0.19,0.37,0.69,0.25,0.28,0.25,0.03,0.52
qcad2.csv,0.37,0.09,0.09,0.47,0.06,0.38,0.32,0.62,0.46,0.18,0.73,0.14,0.66,0.69,0.75,0.76,0.75,0.4,0.41
qtwin.csv,0.07,0.0,0.02,0.0,0.0,0.14,0.03,0.44,0.09,0.0,0.13,0.1,0.16,0.27,0.05,0.21,0.25,0.0,0.0
stemkit.csv,0.27,0.53,0.18,0.26,0.17,0.14,0.06,0.12,0.15,0.21,0.77,0.18,0.19,0.27,0.1,0.45,0.25,0.18,0.07
xinity.csv,0.63,1.0,0.2,1.0,1.0,0.43,0.63,0.36,0.67,0.35,0.7,0.92,0.81,0.42,0.75,0.72,0.25,0.99,0.28
