,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.57,0.69,0.27,0.12,1.0,0.04,0.0,0.48,0.0,0.6
bibedt.csv,0.67,0.43,0.68,0.9,0.5,0.16,0.44,0.74,0.82,0.73
cascading.csv,0.57,0.61,0.51,0.59,1.0,0.14,0.33,0.62,0.85,0.79
firebreath.csv,0.49,0.61,0.54,0.56,0.0,0.16,0.32,0.67,0.88,0.72
fritzing.csv,0.71,0.64,0.5,0.71,0.29,0.13,0.1,0.65,0.79,0.85
httpcontentparser.csv,0.4,0.0,0.42,0.75,0.17,0.31,0.24,0.71,0.75,0.82
mpgravity.csv,0.51,0.61,0.43,0.47,0.56,0.13,0.2,0.67,0.81,0.72
patterntesting.csv,0.53,0.54,0.38,0.69,0.5,0.11,0.22,0.59,0.79,0.69
roller.csv,0.45,0.54,0.44,0.62,0.21,0.12,0.21,0.78,0.85,0.69
xfce.csv,0.57,0.51,0.39,0.43,0.0,0.11,0.2,0.71,0.8,0.83
