,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.07,0.69,0.06,0.04,0.1,0.12,0.0,0.34,0.0,0.04
bibedt.csv,0.45,0.25,0.26,0.35,0.1,0.76,0.71,0.8,0.5,0.57
cascading.csv,0.67,0.68,0.65,0.47,0.1,0.64,0.69,0.52,0.69,0.58
firebreath.csv,0.39,0.66,0.65,0.38,0.0,0.53,0.68,0.57,0.44,0.6
fritzing.csv,0.75,0.62,0.49,0.61,0.2,0.52,0.12,0.64,0.4,0.47
httpcontentparser.csv,0.2,0.0,0.21,0.12,0.1,0.76,0.44,0.47,0.46,0.12
mpgravity.csv,0.36,0.39,0.57,0.68,0.82,0.58,0.21,0.66,0.58,0.61
patterntesting.csv,0.56,0.52,0.3,0.69,0.2,0.13,0.59,0.09,0.33,0.41
roller.csv,0.38,0.39,0.64,0.48,0.26,0.51,0.48,0.74,0.68,0.0
xfce.csv,0.13,0.52,0.51,0.61,0.0,0.4,0.55,0.6,0.59,0.68
