,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,92.5,289.5,95.5,308.5,93.5,176.0,785.0,96.5,575.0,196.5,97.5,97.5
blue-c.csv,97.5,485.5,99.0,1249.0,197.5,821.0,297.0,96.5,673.0,196.5,97.5,97.5
cities3d.csv,97.5,389.0,99.0,93.5,137.0,65.5,99.0,96.5,538.5,78.5,92.5,60.5
dynalloy.csv,95.5,485.5,99.0,1362.5,98.5,1547.0,297.0,93.5,578.5,293.0,97.5,92.5
firebird.csv,229.5,96.5,99.0,86.5,98.5,554.5,297.0,96.5,185.0,196.5,97.5,97.5
hydrogen.csv,97.5,485.5,99.0,198.0,197.5,1915.0,297.0,96.5,185.0,0.0,86.5,97.5
nosleepsoftware.csv,97.5,92.5,98.5,190.0,612.0,95.0,449.5,120.0,0.0,52.5,81.0,95.5
openmalaria.csv,97.5,389.0,99.0,190.0,98.5,260.5,198.0,96.5,385.5,97.5,97.5,97.5
popeye-chess.csv,97.5,389.0,99.0,93.5,98.5,460.0,198.0,96.5,381.0,223.5,97.5,97.5
qgo.csv,97.5,290.5,99.0,190.0,98.5,1089.5,297.0,96.5,565.5,97.5,97.5,97.5
xmoto.csv,139.5,292.5,99.0,93.5,98.5,362.5,198.0,96.5,476.5,194.5,97.5,97.5
yield.csv,97.5,485.5,99.0,93.5,98.5,554.5,297.0,96.5,286.5,196.5,97.5,97.5
