,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.53,0.11,0.35,0.0,0.91,0.68,0.44,0.37,0.57,0.38
chaperon.csv,0.42,0.29,0.35,0.62,0.49,0.44,0.29,0.21,0.66,0.34
geotools.csv,0.7,0.55,0.5,0.06,0.96,0.56,0.52,0.73,0.43,0.33
l2j.csv,0.7,0.47,0.36,0.2,0.35,0.61,0.33,0.69,0.77,0.36
mule.csv,0.7,0.17,0.29,0.25,0.78,0.58,0.37,0.52,0.4,0.48
nunit.csv,0.47,0.61,0.22,0.24,0.62,0.3,0.32,0.57,0.5,0.47
primefaces.csv,0.74,0.52,0.55,0.17,0.74,0.51,0.45,0.84,0.64,0.33
springside.csv,0.72,0.67,0.38,0.15,0.76,0.67,0.51,0.7,0.54,0.47
swtfox.csv,0.72,0.5,0.62,0.16,0.47,0.18,0.37,0.74,0.71,0.24
twostep.csv,0.74,0.6,0.4,0.19,0.78,0.76,0.45,0.46,0.63,0.41
