,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.31,0.3,0.62,0.59,0.51,0.53,0.23,0.74,0.74,0.44
fritzing.csv,0.65,0.72,0.69,0.55,0.72,0.67,0.24,0.39,0.67,0.54
jlinalg.csv,0.78,0.44,0.39,0.51,0.56,0.75,0.43,0.6,0.46,0.55
knowledge.csv,0.79,0.68,0.66,0.34,0.89,0.61,0.24,0.52,0.61,0.56
massiv.csv,0.17,0.33,0.41,0.0,0.0,0.99,0.0,0.63,0.0,0.02
multitude.csv,0.48,0.66,0.58,0.5,0.72,0.47,0.57,0.62,0.38,0.68
playerstage.csv,0.37,0.62,0.73,0.72,0.68,0.7,0.34,0.62,0.41,0.52
quarkplusplus.csv,0.7,0.73,0.53,0.6,0.65,0.87,0.12,0.32,0.63,0.56
rtrt-on-gpu.csv,0.17,0.17,0.18,0.22,0.43,0.0,0.72,0.18,0.2,0.23
superwaba.csv,0.56,0.69,0.72,0.65,0.63,0.67,0.44,0.73,0.46,0.57
