,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.7,0.8,0.56,0.63,0.8,0.55,0.83,0.79,0.52,0.6,0.69
empserver.csv,0.64,0.78,0.92,0.73,0.43,0.62,0.63,0.76,0.72,0.63,0.82
enlightenment.csv,1.0,1.0,1.0,0.51,1.0,1.0,0.95,1.0,0.99,1.0,1.0
ffigo.csv,0.79,0.93,0.84,1.0,1.0,0.95,0.99,1.0,0.73,0.46,1.0
ildjit.csv,0.75,0.33,0.86,0.82,0.78,0.86,0.96,1.04,1.01,0.8,0.7
jfreereport.csv,0.87,0.96,0.55,0.72,0.81,0.65,0.73,0.88,0.72,0.59,0.78
lufa-lib.csv,0.83,0.75,0.58,0.64,0.84,0.7,0.44,0.69,0.68,0.55,0.78
pcsx2.csv,0.55,0.88,0.59,0.56,0.61,0.43,0.81,1.04,0.97,0.79,0.55
psycle.csv,0.48,0.89,0.57,0.58,0.7,0.56,0.7,1.05,0.81,0.67,0.62
wikipediardware.csv,0.56,0.91,1.0,0.65,0.94,0.77,0.91,0.93,0.81,0.72,0.3
wxjs.csv,0.83,1.0,0.93,0.91,0.93,0.9,0.97,0.2,1.0,0.93,0.89
