,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.27,0.78,0.61,0.27,0.25,0.5,0.51,0.57,0.32,0.32,0.4,0.33,0.5,0.47,0.67,0.48,0.84,0.37,0.44
delphilhlplib.csv,0.3,0.77,0.98,0.64,0.56,0.6,0.26,0.76,0.67,0.62,0.82,0.69,0.49,0.53,0.53,0.57,0.69,0.36,0.75
exordium.csv,0.12,0.3,0.38,0.2,1.0,0.53,0.59,0.25,0.57,0.18,0.49,0.38,0.19,0.25,0.18,0.34,0.0,0.15,0.52
fltk.csv,0.73,0.36,0.38,0.94,0.64,0.53,0.2,0.67,0.64,0.47,0.8,0.42,0.34,0.55,0.48,0.52,0.76,0.28,0.73
genoviz.csv,0.21,0.11,0.47,0.04,0.13,0.2,0.01,0.06,0.02,0.01,0.27,0.0,0.04,0.13,0.0,0.0,0.0,0.24,1.0
gzigzag.csv,0.57,0.12,0.2,0.32,0.47,1.0,0.11,0.47,0.33,0.16,0.76,0.16,0.04,0.17,0.24,0.4,0.01,0.06,0.45
irrlicht.csv,0.53,0.32,0.57,0.42,0.53,0.6,0.43,0.75,0.53,0.99,0.09,0.44,0.48,0.33,0.59,0.6,0.96,0.55,0.54
kmess.csv,0.65,0.32,0.34,0.53,0.64,0.51,0.38,0.39,0.66,0.51,0.59,0.68,0.56,0.49,0.5,0.98,0.19,0.52,0.62
moast.csv,0.16,0.31,0.05,0.11,0.37,0.38,0.04,0.0,0.37,0.04,0.45,0.06,0.12,0.13,0.0,0.37,0.99,0.2,0.42
mptvseries.csv,0.73,0.54,0.37,0.64,0.73,0.54,0.17,1.0,0.54,0.44,0.78,0.56,0.56,0.52,0.48,0.58,0.95,0.27,0.72
nativeclient.csv,0.12,0.55,0.38,0.58,0.79,0.61,0.51,0.6,0.72,0.58,0.71,0.69,0.54,0.65,0.6,0.62,0.6,0.99,0.43
openfrag.csv,0.62,0.52,0.56,0.67,0.68,0.61,0.36,0.78,0.37,0.53,0.61,0.66,0.57,0.95,0.64,0.6,0.79,0.52,0.38
phet.csv,0.39,0.62,0.36,0.5,0.37,0.42,0.94,0.56,0.34,0.34,0.07,0.13,0.09,0.25,0.21,0.5,0.0,0.45,0.22
qdvdauthor.csv,0.48,0.59,0.41,0.48,0.29,0.32,0.25,0.4,0.31,0.38,0.56,0.57,0.38,0.62,0.92,0.42,0.46,0.48,0.24
qse.csv,0.6,0.7,0.64,0.56,0.79,0.59,0.43,0.66,0.0,0.52,0.98,0.59,0.51,0.49,0.53,0.5,0.52,0.32,0.69
sauerbraten.csv,0.93,0.0,0.36,0.4,0.56,0.49,0.26,0.41,0.5,0.41,0.63,0.45,0.27,0.45,0.25,0.39,0.1,0.52,0.61
toped.csv,0.36,0.0,0.49,0.24,0.52,0.57,0.17,0.65,1.0,0.34,0.24,0.56,0.57,0.37,0.62,0.5,0.9,0.37,0.23
truevision.csv,0.64,0.68,0.65,0.62,0.77,0.35,0.46,0.69,0.48,0.59,0.6,0.96,0.58,0.67,0.46,0.61,0.61,0.48,0.09
zoolib.csv,0.59,0.17,0.13,0.31,0.3,0.2,0.09,0.19,0.21,0.07,0.13,0.13,0.78,0.11,0.1,0.26,0.35,0.04,0.45
