,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,phet.csv,mptvseries.csv,toped.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,qdvdauthor.csv,kmess.csv,moast.csv,nativeclient.csv,genoviz.csv
brlcad.csv,0.82,0.26,0.7,0.87,0.82,0.78,0.71,0.72,0.83,0.75,0.73,0.99,0.66,0.71,0.55,0.71,0.3,0.8,0.65
delphilhlplib.csv,0.92,0.46,0.02,0.7,0.79,0.56,0.84,0.53,0.53,0.7,0.27,0.61,0.84,0.8,0.8,0.57,0.61,0.7,0.62
exordium.csv,0.9,0.76,0.87,0.83,0.0,0.8,0.73,0.79,0.68,0.85,0.57,0.71,0.84,0.8,0.85,0.72,1.33,0.88,0.8
fltk.csv,0.56,0.72,0.72,0.12,0.47,0.68,0.91,0.39,0.41,0.63,0.41,0.64,0.71,0.51,0.66,0.58,0.29,0.77,0.51
genoviz.csv,0.82,0.92,0.67,0.97,0.89,0.83,0.99,0.95,0.98,0.99,0.77,1.0,0.97,0.9,1.0,1.0,1.0,0.8,0.0
gzigzag.csv,0.58,0.92,0.84,0.73,0.6,0.01,0.92,0.58,0.74,0.88,0.29,0.87,0.97,0.86,0.81,0.66,0.99,0.95,0.61
irrlicht.csv,0.8,0.91,0.52,0.87,0.8,0.56,0.79,0.44,0.8,0.01,0.98,0.86,0.83,0.91,0.73,0.74,0.08,0.79,0.74
kmess.csv,0.49,0.92,0.72,0.65,0.47,0.6,0.83,0.8,0.61,0.72,0.6,0.45,0.71,0.67,0.78,0.02,1.08,0.58,0.7
moast.csv,0.88,0.74,0.98,0.92,0.69,0.69,0.98,1.0,0.7,0.97,0.6,0.95,0.9,0.89,1.0,0.69,0.03,0.83,0.75
mptvseries.csv,0.63,0.75,0.69,0.46,0.4,0.59,0.92,0.0,0.65,0.65,0.3,0.54,0.51,0.54,0.66,0.55,0.17,0.78,0.53
nativeclient.csv,0.92,0.77,0.7,0.58,0.52,0.62,0.74,0.61,0.57,0.67,0.52,0.4,0.67,0.62,0.63,0.71,0.72,0.01,0.89
openfrag.csv,0.75,0.82,0.77,0.68,0.61,0.64,0.89,0.55,0.9,0.79,0.75,0.61,0.62,0.06,0.7,0.74,0.55,0.81,0.89
phet.csv,0.94,0.62,0.96,0.83,0.95,0.87,0.07,0.75,0.94,0.92,1.13,0.98,0.99,1.02,0.95,0.83,1.32,0.86,0.97
qdvdauthor.csv,0.79,0.7,0.64,0.72,0.89,0.74,0.85,0.76,0.76,0.79,0.68,0.57,0.76,0.53,0.1,0.74,0.59,0.83,0.81
qse.csv,0.75,0.62,0.62,0.59,0.46,0.68,0.79,0.52,1.01,0.75,0.03,0.54,0.61,0.59,0.63,0.65,0.78,0.74,0.69
sauerbraten.csv,0.08,1.0,0.73,0.68,0.55,0.6,0.82,0.68,0.79,0.7,0.46,0.71,0.79,0.62,0.88,0.67,0.93,0.79,0.52
toped.csv,0.91,1.0,0.84,0.95,0.8,0.55,0.96,0.55,0.0,0.91,0.94,0.65,0.76,0.7,0.71,0.83,0.28,0.9,0.83
truevision.csv,0.71,0.66,0.52,0.54,0.46,0.91,0.87,0.43,0.84,0.56,0.74,0.05,0.52,0.62,0.73,0.56,0.76,0.62,0.98
zoolib.csv,0.46,0.86,0.9,0.74,0.75,0.83,0.95,0.85,0.83,0.95,0.89,0.89,0.26,0.91,0.93,0.79,0.7,0.97,0.6
