,f1,g,recall,precision,pf,wins
alpine.csv,0.57,0.38,0.67,0.5,0.62,7
autat.csv,0.38,0.36,0.35,0.79,0.21,12
critterding.csv,0.61,0.45,0.83,0.59,0.84,10
elateportal.csv,0.59,0.51,0.74,0.62,0.67,14
factor.csv,0.17,0.15,0.12,0.59,0.1,2
fceugc.csv,0.46,0.5,0.5,0.62,0.46,9
jstock.csv,0.44,0.37,0.32,0.73,0.2,11
keyczar.csv,0.23,0.22,0.19,0.35,0.29,1
mimosa.csv,0.62,0.35,0.88,0.52,0.85,8
miranda.csv,0.19,0.07,0.12,0.75,0.16,3
nativeclient.csv,0.44,0.56,0.54,0.64,0.32,16
ogre.csv,0.44,0.44,0.66,0.46,0.69,5
openfrag.csv,0.59,0.6,0.67,0.71,0.5,17
qdvdauthor.csv,0.54,0.45,0.58,0.48,0.58,6
qse.csv,0.46,0.45,0.48,0.67,0.36,13
reactos-mirror.csv,0.65,0.65,0.71,0.65,0.43,18
sandiaportals.csv,0.56,0.58,0.65,0.5,0.5,15
synergyspace.csv,0.34,0.36,0.33,0.55,0.31,4
uclmda.csv,0.14,0.12,0.1,0.36,0.13,0
