,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.29,0.34,0.41,0.24,0.65,0.36,0.29,0.37,0.6,0.19,0.27,0.79,0.78,0.18,0.66,0.62,0.2,0.48
arm-webradio.csv,0.47,0.42,0.24,0.27,0.76,0.48,0.08,0.69,0.6,0.18,0.0,0.54,0.44,0.24,0.7,0.8,0.1,0.78
bwapi.csv,0.73,0.14,0.22,0.16,0.48,0.51,0.46,0.11,0.23,0.2,0.35,0.8,0.65,0.09,0.32,0.82,0.19,0.2
co-ode-owl-plugins.csv,0.52,0.42,0.33,0.25,0.74,0.53,0.31,0.65,0.63,0.2,0.08,0.41,0.32,0.09,0.74,0.78,0.18,0.8
firebreath.csv,0.7,0.34,0.28,0.26,0.69,0.64,0.33,0.23,0.6,0.23,0.17,0.75,0.56,0.24,0.57,0.51,0.2,0.34
frogatto.csv,0.74,0.27,0.23,0.25,0.64,0.58,0.49,0.15,0.46,0.29,0.36,0.81,0.69,0.1,0.74,0.35,0.27,0.33
gretl.csv,0.74,0.35,0.33,0.29,0.71,0.49,0.29,0.36,0.56,0.2,0.2,0.8,0.64,0.16,0.68,0.87,0.14,0.59
jasperreports.csv,0.49,0.18,0.22,0.16,0.41,0.53,0.43,0.11,0.16,0.19,0.37,0.76,0.72,0.46,0.23,0.22,0.09,0.0
konversation.csv,0.48,0.29,0.5,0.27,0.43,0.61,0.31,0.2,0.15,0.21,0.25,0.6,0.44,0.16,0.38,0.22,0.15,0.1
linuxsh.csv,0.51,0.42,0.0,0.15,0.67,0.24,0.0,0.61,0.66,0.16,0.0,0.21,0.25,0.0,0.52,0.68,0.0,0.51
moviesandbox.csv,0.66,0.29,0.29,0.18,0.71,0.44,0.14,0.51,0.59,0.23,0.11,0.25,0.1,0.05,0.46,0.68,0.22,0.31
ontomorphtab.csv,0.71,0.29,0.27,0.25,0.74,0.55,0.41,0.11,0.58,0.26,0.2,0.83,0.73,0.23,0.64,0.44,0.13,0.38
opengs.csv,0.54,0.56,0.42,0.37,0.69,0.51,0.17,0.69,0.69,0.23,0.0,0.31,0.26,0.08,0.54,0.48,0.46,0.06
scite-ru.csv,0.74,0.31,0.24,0.22,0.7,0.53,0.38,0.27,0.63,0.2,0.35,0.74,0.55,0.1,0.69,0.87,0.17,0.42
tokratan.csv,0.56,0.34,0.38,0.33,0.67,0.43,0.17,0.17,0.6,0.37,0.15,0.75,0.59,0.1,0.33,0.24,0.38,0.24
vrjuggler.csv,0.64,0.16,0.35,0.13,0.47,0.12,0.34,0.2,0.08,0.19,0.41,0.58,0.64,0.24,0.58,0.16,0.25,0.53
wxcode.csv,0.43,0.09,0.42,0.35,0.4,0.39,0.44,0.09,0.07,0.44,0.2,0.55,0.41,0.21,0.2,0.18,0.47,0.06
xuggle.csv,0.55,0.29,0.31,0.41,0.73,0.49,0.48,0.14,0.68,0.34,0.14,0.69,0.68,0.09,0.68,0.82,0.36,0.49
