,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.87,0.7,0.51,0.59,0.83,0.74,0.77,0.59,0.78,0.76,0.74,0.6,0.44,0.43,0.89,0.97,0.59,0.54
arm-webradio.csv,0.71,0.5,0.76,0.57,0.58,0.61,0.95,0.34,0.88,0.91,1.0,0.67,0.75,0.33,0.68,0.98,0.82,0.18
bwapi.csv,1.0,0.99,0.94,0.98,0.75,0.95,0.96,1.14,0.87,0.66,1.0,0.83,0.89,0.98,0.8,0.31,0.8,1.08
co-ode-owl-plugins.csv,0.8,0.44,0.49,0.71,0.57,0.6,0.81,0.29,0.73,0.91,0.95,0.75,0.86,0.94,0.56,0.94,0.62,0.16
firebreath.csv,0.47,0.58,0.57,0.57,0.61,0.45,0.77,0.79,0.87,0.66,0.87,0.45,0.74,0.33,0.57,0.87,0.63,0.81
frogatto.csv,0.42,0.7,0.83,0.62,0.58,0.57,0.72,1.05,0.66,0.49,0.97,0.5,0.69,0.99,0.37,1.02,0.5,0.78
gretl.csv,0.5,0.59,0.45,0.49,0.97,0.7,0.78,0.57,0.75,0.98,0.83,0.48,0.63,0.56,0.97,1.0,0.74,0.39
jasperreports.csv,0.71,0.84,0.93,0.9,0.82,0.83,1.0,1.16,1.06,0.81,0.92,0.7,0.69,0.13,0.96,0.88,0.91,1.28
konversation.csv,0.67,0.68,0.26,0.62,0.71,0.46,0.75,0.8,0.91,0.64,0.76,0.58,0.78,0.49,0.75,0.88,0.69,0.94
linuxsh.csv,0.66,0.44,1.0,0.89,0.53,0.85,1.0,0.4,0.46,0.82,1.0,0.88,0.87,1.01,0.63,0.84,1.01,0.6
moviesandbox.csv,0.81,0.74,0.54,0.7,0.45,0.66,0.91,0.46,0.51,0.68,0.94,0.86,0.95,0.92,0.68,0.89,0.55,0.78
ontomorphtab.csv,0.44,1.0,0.67,0.64,0.8,0.78,0.73,1.04,0.83,0.55,0.91,0.52,0.91,0.35,0.68,0.79,0.8,0.96
opengs.csv,0.62,0.55,0.44,0.43,0.56,0.6,0.9,0.44,0.41,0.74,1.0,0.81,0.87,0.97,0.59,0.72,0.22,0.97
scite-ru.csv,0.91,0.87,0.66,0.77,0.86,0.8,0.67,0.94,0.78,0.99,0.8,0.56,0.73,1.0,0.85,1.0,0.92,0.98
tokratan.csv,0.6,0.55,0.46,0.47,0.5,0.67,0.9,0.89,0.53,0.38,0.88,0.51,0.7,0.91,0.81,0.86,0.3,0.95
vrjuggler.csv,0.52,0.85,0.48,0.89,0.67,0.93,0.72,0.78,0.96,0.81,0.54,0.63,0.53,0.59,0.67,0.92,0.72,0.49
wxcode.csv,0.72,0.93,0.44,0.6,0.74,0.71,0.63,0.95,0.96,0.6,0.83,0.63,0.75,0.4,0.89,0.9,0.21,1.09
xuggle.csv,0.62,0.73,0.51,0.34,0.62,0.61,0.54,0.87,0.48,0.41,0.9,0.61,0.67,0.97,0.57,0.84,0.33,0.53
