,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,m-a-d-n-e-s-s.csv,yarp.csv,ftm.csv
bloodycore.csv,0.04,0.58,0.4,0.93,0.39,0.0,0.32,0.56,0.67
flylegacy.csv,0.76,0.64,0.98,0.81,0.75,0.23,0.8,0.6,0.43
ftm.csv,0.36,0.39,0.68,0.7,0.44,0.4,0.6,0.24,0.98
jguard.csv,0.84,0.7,0.81,0.73,0.72,0.97,0.88,0.72,0.87
m-a-d-n-e-s-s.csv,0.28,0.36,0.65,0.3,0.42,0.43,0.96,0.12,0.75
mob-sen-plat.csv,0.28,0.97,0.3,0.19,0.11,0.5,0.28,0.36,0.3
raygina.csv,0.96,0.06,0.59,0.39,0.31,0.2,0.64,0.48,0.43
upp-mirror.csv,0.56,0.21,0.67,0.63,1.0,0.27,0.76,0.68,0.39
yarp.csv,0.16,0.21,0.21,0.3,0.2,0.13,0.28,0.96,0.44
