,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.22,0.6,0.37,0.6,0.64,0.0,0.53,0.52,0.54,0.37,0.44,0.42,0.57,0.55,0.27,1.0
aztec.csv,0.24,0.44,0.12,0.38,0.6,0.17,0.18,0.13,0.17,0.9,0.56,0.35,0.06,0.58,0.42,0.28
bl-toolkit.csv,0.33,0.45,0.55,0.38,0.58,1.0,0.45,0.58,0.48,0.42,0.46,0.79,0.59,0.63,0.26,0.56
co-ode-owl-plugins.csv,0.02,0.36,0.34,0.48,0.95,0.33,0.32,0.69,0.56,0.33,0.61,0.67,0.69,0.65,0.17,0.0
gbif-indexingtoolkit.csv,0.31,0.0,0.17,0.93,0.07,0.24,0.16,0.2,0.06,0.15,0.1,0.18,0.21,0.13,0.17,0.0
gnukeda.csv,0.35,0.44,0.63,0.56,0.71,0.41,1.0,0.65,0.36,0.24,0.47,0.73,0.48,0.6,0.31,0.59
motu.csv,0.15,0.06,0.33,0.21,0.13,0.26,0.25,0.13,0.04,0.0,0.54,1.0,0.1,0.25,0.04,0.27
oscarmcmaster.csv,0.0,0.15,0.37,0.31,0.0,0.48,0.18,0.32,0.1,0.29,0.29,0.27,0.24,0.91,0.06,0.73
pamguard.csv,0.61,0.58,0.57,0.57,0.3,0.44,0.43,0.63,0.39,0.57,0.99,0.6,0.56,0.54,0.45,0.35
prelude.csv,1.0,0.39,0.41,0.43,0.27,0.42,0.39,0.57,0.13,0.05,0.24,0.56,0.54,0.39,0.5,0.05
qdvdauthor.csv,0.26,0.2,0.5,0.21,0.54,0.47,0.42,0.55,0.69,0.54,0.35,0.39,1.0,0.25,0.22,0.04
qlc.csv,0.0,0.0,0.4,0.0,0.07,0.0,0.12,1.0,0.23,0.24,0.15,0.0,0.18,0.02,0.02,0.0
scite-ru.csv,0.09,0.63,0.87,0.17,0.75,0.0,0.49,0.57,0.58,0.33,0.32,0.56,0.61,0.59,0.63,0.09
tencompetence.csv,0.48,0.2,0.22,0.31,0.13,0.17,0.06,0.35,0.51,0.1,0.26,0.1,0.15,0.25,0.98,0.13
trackit.csv,0.3,0.98,0.37,0.58,0.43,0.32,0.51,0.53,0.45,0.47,0.25,0.71,0.35,0.59,0.57,0.63
yaprm.csv,0.49,0.2,0.5,0.3,0.25,0.42,0.4,0.53,0.97,0.58,0.48,0.48,0.46,0.49,0.47,0.49
