,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.94,0.49,0.84,0.48,0.97,0.42,0.63,0.64,0.42,0.98,0.55,0.45,0.47,0.58,0.73,0.69
aztec.csv,0.92,0.69,0.67,0.55,0.53,0.9,0.91,0.96,0.92,0.95,0.52,0.83,0.83,0.56,0.93,0.76
bl-toolkit.csv,0.5,0.71,0.51,0.46,0.54,0.48,0.67,0.48,0.51,0.96,0.35,0.39,0.45,0.55,0.88,0.55
co-ode-owl-plugins.csv,0.0,0.63,0.91,0.4,0.94,0.45,0.48,0.5,0.41,0.98,0.44,0.42,0.43,0.59,0.98,0.56
gbif-indexingtoolkit.csv,0.6,0.0,0.85,0.9,0.83,0.77,0.93,0.97,0.8,0.96,0.86,0.8,0.92,0.92,0.97,0.89
gnukeda.csv,0.71,0.65,0.52,0.39,0.7,0.61,0.59,0.45,0.57,0.7,0.49,0.47,0.42,0.49,0.73,0.65
motu.csv,0.8,0.5,0.73,0.89,0.91,0.67,0.83,0.79,0.86,0.91,0.39,0.77,0.86,0.97,0.94,0.46
oscarmcmaster.csv,0.0,0.86,0.73,0.75,0.86,0.52,0.83,0.95,0.9,0.97,0.83,0.89,0.78,0.98,0.94,0.65
pamguard.csv,0.52,0.54,0.38,0.65,0.52,0.65,0.61,0.63,0.68,0.71,0.43,0.46,0.62,0.46,0.51,0.69
prelude.csv,0.48,0.44,0.34,0.36,0.37,0.44,0.45,0.42,0.34,0.42,0.32,0.38,0.33,0.35,0.46,0.57
qdvdauthor.csv,0.81,0.88,0.61,0.88,0.74,0.6,0.55,0.48,0.38,0.65,0.61,0.6,0.45,0.86,0.88,0.94
qlc.csv,0.0,0.0,0.63,0.0,0.67,0.0,0.8,0.94,0.9,0.64,0.89,0.0,0.83,0.86,0.75,0.0
scite-ru.csv,0.67,0.57,0.68,0.37,0.68,0.42,0.5,0.46,0.41,0.98,0.35,0.41,0.36,0.47,0.65,0.57
tencompetence.csv,0.7,0.92,0.92,0.88,0.96,0.9,0.67,0.75,0.7,0.92,0.86,0.83,0.83,0.97,0.62,0.95
trackit.csv,0.93,0.54,0.86,0.5,0.71,0.75,0.68,0.45,0.35,0.98,0.87,0.42,0.76,0.55,0.66,0.63
yaprm.csv,0.43,0.69,0.46,0.46,0.48,0.53,0.6,0.54,0.47,0.5,0.42,0.46,0.55,0.51,0.5,0.53
