,project,f1,precision,recall,g-score,d2h,pci_20,ifa,pd,pf
0,bzbyte.csv,0.71,0.8,0.61,0.63,0.54,0.16,1.0,0.61,0.43
1,freedom-erp.csv,0.69,0.58,0.85,0.69,0.63,0.18,4.0,0.85,0.62
2,twostep.csv,0.5,0.57,0.45,0.48,0.63,0.17,3.0,0.45,0.23
