,project,f1_median
0,bzbyte.csv,0.68
1,freedom-erp.csv,0.82
2,twostep.csv,0.78
3,iaml.csv,0.53
4,etics.csv,0.62
5,neoengine.csv,0.58
6,nsis.csv,0.67
7,vdsf.csv,0.88
8,monetdb.csv,0.71
9,amygdala.csv,0.64
10,ikvm.csv,0.62
11,jicarilla.csv,0.67
12,metacosm.csv,0.62
13,mplayer-ce.csv,0.48
14,moviesandbox.csv,0.64
15,uwom.csv,0.75
16,geotools.csv,0.59
17,jrdf.csv,0.8
18,ng4j.csv,0.71
19,bloodycore.csv,0.72
20,jahshakafx.csv,0.79
21,jstock.csv,0.86
22,nassp.csv,0.79
23,soar.csv,0.75
24,xbplayer.csv,0.54
25,scite-ru.csv,0.68
26,mobicents.csv,0.59
27,jcache.csv,0.91
28,flylegacy.csv,0.69
29,mcmc-jags.csv,1.0
30,mcore3d.csv,0.53
31,gdis.csv,0.73
32,liferea.csv,0.75
33,nova.csv,0.75
34,fleet-simulator.csv,1.0
35,japano.csv,0.62
36,qmcpack.csv,0.7
37,gnukeda.csv,0.4
38,powerfolder-.csv,0.63
39,jparsec.csv,0.61
40,adonthell.csv,0.66
41,k3d.csv,0.77
42,fmri-dmt.csv,0.78
43,amanda.csv,0.58
44,jaql.csv,0.33
45,vars-redux.csv,0.61
46,megameknet.csv,0.79
47,autoopencas.csv,0.67
48,arianne.csv,0.56
49,sumatrapdf.csv,0.74
50,powerfolder.csv,0.91
51,openxava.csv,0.92
52,elateportal.csv,0.87
53,lcfizvtop.csv,0.63
54,arm-webradio.csv,0.84
55,geogebra.csv,0.63
56,dvd-create.csv,0.78
57,xinity.csv,0.48
58,jython.csv,0.92
59,gnupdate.csv,0.82
60,gstreamer.csv,0.6
61,plearn.csv,0.6
62,gpac.csv,0.64
63,quark.csv,0.69
64,xemeiah.csv,0.63
65,unflobtactical.csv,0.75
66,web-cat.csv,0.7
67,biodwh.csv,0.68
68,buddata-ebxml-registry.csv,0.91
69,crisscross.csv,0.82
70,ofbiz.csv,0.4
71,mptvseries.csv,0.81
72,freelords.csv,0.8
73,delphilhlplib.csv,0.78
74,wow-qrsk.csv,0.56
75,les-indemodables.csv,0.63
76,runuomondains.csv,0.78
77,ontomorphtab.csv,0.71
78,capcode.csv,0.74
79,openmeetings.csv,0.8
80,silvertree.csv,0.6
81,hibernate.csv,0.57
82,haggle.csv,0.62
83,opensim4opencog.csv,0.82
84,jasa.csv,0.6
85,openmsx.csv,0.51
86,toped.csv,0.82
87,simplewebservices.csv,0.52
88,mvnforum.csv,0.5
89,reaper3d.csv,0.86
90,growl-for-windows.csv,0.59
91,projectts.csv,0.67
92,mvdsv.csv,0.91
93,wsmt.csv,0.5
94,swtfox.csv,0.6
95,pcsx2.csv,0.56
96,octave.csv,0.65
97,mule.csv,0.59
98,lamp.csv,0.7
99,m-a-d-n-e-s-s.csv,0.69
100,google-gears.csv,0.62
101,encog-cs.csv,0.56
102,awemud.csv,0.63
103,tycho.csv,0.86
104,tmva.csv,0.63
105,gebr.csv,0.61
106,rocrail.csv,0.67
107,ossbuild.csv,0.76
108,foursquared.csv,0.62
109,pentahoanalysistool.csv,0.67
110,extprosys.csv,0.64
111,utgb.csv,0.34
112,jmri.csv,0.62
113,virtuoso.csv,0.64
114,qmmp.csv,0.71
115,bigdata.csv,0.78
116,k3b.csv,0.56
117,myfaces.csv,0.79
118,google-web-toolkit.csv,0.54
119,genecys.csv,0.84
120,werx.csv,0.94
121,taverna.csv,0.55
122,jsidplay2.csv,0.78
123,fltk.csv,0.67
124,tradelink.csv,0.77
125,irrlicht.csv,0.68
126,jguard.csv,0.55
127,jitterbit.csv,0.78
128,etherboot.csv,0.71
129,customwars.csv,0.77
130,webdriver.csv,0.56
131,mediate.csv,0.48
132,plee-the-bear.csv,0.75
133,levent.csv,0.68
134,mia.csv,0.81
135,unladen-swallow.csv,0.73
136,apertium.csv,0.76
137,vapor.csv,0.63
138,xstore.csv,0.6
139,qcad2.csv,0.51
140,fluent-nhibernate.csv,0.83
141,wxlua.csv,0.85
142,ivef-sdk.csv,1.0
143,modplug.csv,0.8
144,dxengine.csv,0.71
145,jmonkeyengine.csv,0.68
146,jahshaka.csv,0.69
147,mimosa.csv,0.91
148,mclient-mume.csv,0.57
149,azureus.csv,0.66
150,modellus.csv,0.65
151,nh3d.csv,0.91
152,lufa-lib.csv,0.56
153,cleartk.csv,0.65
154,kdenlive.csv,0.57
155,jppf-project.csv,0.89
156,synecdoche.csv,0.68
157,nosleepsoftware.csv,0.68
158,brlcad.csv,0.64
159,img-browse-sort.csv,0.54
160,ns-3.csv,0.32
161,h2database.csv,0.79
162,opentibia.csv,0.74
163,electric-core.csv,0.72
164,ctrlr.csv,0.74
165,co-ode-owl-plugins.csv,0.79
166,wxstudio.csv,0.46
167,owfs.csv,0.62
168,emono.csv,0.5
169,gwanted.csv,0.73
170,acegisecurity.csv,0.74
171,javaprofiler.csv,0.74
172,esmf.csv,0.66
173,glas.csv,0.43
174,calcubetimer.csv,0.82
175,quarkplusplus.csv,0.51
176,reaper-ecad.csv,0.8
177,aubit4gl.csv,0.5
178,abbot.csv,0.75
179,cuberok.csv,0.73
180,mp-rechnungs-und-kundenverwaltung.csv,0.61
181,ultimairis.csv,0.7
182,frogatto.csv,0.6
183,go.csv,0.63
184,pfaedit.csv,0.65
185,poormans.csv,0.78
186,rectracker.csv,0.72
187,nullc.csv,0.64
188,kmess.csv,0.61
189,taokgame.csv,0.83
190,alsa.csv,0.57
191,riff-evolve.csv,0.56
192,xtreemfs.csv,0.75
193,kindb.csv,1.0
194,oppna-program-hsatools.csv,0.74
195,sylpheed-claws.csv,0.7
196,repositorium.csv,0.86
197,smbopensoft.csv,0.81
198,pydev.csv,0.59
199,tolven.csv,0.84
200,uwom-server.csv,0.67
201,linux-ntfs.csv,0.34
202,ngl.csv,0.54
203,sabbu.csv,0.53
204,gpsmid.csv,0.75
205,gbif-providertoolkit.csv,0.91
206,bibedt.csv,0.6
207,leechcraft.csv,0.67
208,xharbour.csv,0.8
209,truevision.csv,0.8
210,pustefix.csv,0.71
211,ossim.csv,0.81
212,wikipediardware.csv,0.64
213,vxl.csv,0.61
214,natpad.csv,0.6
215,tart.csv,0.73
216,atlc.csv,0.88
217,yafdotnet.csv,0.46
218,bwapi.csv,0.63
